base[3300],ratio[0.0],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2016-06-01	2913.51	1.3140	1000.00	761.04	1000.00	761.04	1.31	1000.00%	
2	2016-07-01	2932.48	1.4250	1000.00	701.75	2000.00	1462.79	1.37	2084.47%	
3	2016-08-01	2953.39	1.3990	1000.00	714.80	3000.00	2177.59	1.38	3046.44%	
4	2016-09-01	3063.31	1.4830	1000.00	674.31	4000.00	2851.89	1.40	4229.36%	
5	2016-10-10	3048.14	1.1020	1000.00	907.44	5000.00	3759.34	1.33	4142.79%	
6	2016-11-01	3122.44	1.1160	1000.00	896.06	6000.00	4655.39	1.29	5195.42%	
7	2016-12-01	3273.31	1.1420	1000.00	875.66	7000.00	5531.05	1.27	6316.46%	
8	2016-12-31	3135.92	1.0760	1000.00	929.37	8000.00	6460.42	1.24	6951.41%	
9	2017-02-03	3140.17	1.0450	1000.00	956.94	9000.00	7417.36	1.21	7751.14%	
10	2017-03-01	3246.93	1.0820	1000.00	924.21	10000.00	8341.57	1.20	9025.58%	
11	2017-04-05	3270.31	1.0820	1000.00	924.21	11000.00	9265.78	1.19	10025.58%	
12	2017-05-02	3143.71	1.0060	1000.00	994.04	12000.00	10259.82	1.17	10321.38%	
