base[3300],ratio[0.0],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-06-01	4828.74	1.5300	1000.00	653.59	1000.00	653.59	1.53	1000.00%	
2	2015-07-01	4053.70	1.2330	1000.00	811.03	2000.00	1464.62	1.37	1805.88%	
3	2015-08-03	3622.91	1.0130	1000.00	987.17	3000.00	2451.79	1.22	2483.66%	
4	2015-09-01	3166.62	0.8670	1000.00	1153.40	4000.00	3605.19	1.11	3125.70%	
5	2015-10-08	3143.36	0.9500	1000.00	1052.63	5000.00	4657.83	1.07	4424.93%	
6	2015-11-02	3325.08	1.1080	1000.00	902.53	6000.00	5560.35	1.08	6160.87%	
7	2015-12-01	3456.31	1.3230	1000.00	755.86	7000.00	6316.21	1.11	8356.35%	
8	2016-01-04	3296.26	1.3120	1000.00	762.20	8000.00	7078.41	1.13	9286.87%	
9	2016-02-01	2688.85	1.0780	1000.00	927.64	9000.00	8006.05	1.12	8630.52%	
10	2016-03-01	2733.17	1.0800	1000.00	925.93	10000.00	8931.98	1.12	9646.53%	
11	2016-04-01	3009.53	1.2530	1000.00	798.08	11000.00	9730.06	1.13	12191.77%	
12	2016-05-03	2992.64	1.3130	1000.00	761.61	12000.00	10491.67	1.14	13775.57%	
13	2016-06-01	2913.51	1.3140	1000.00	761.04	13000.00	11252.71	1.16	14786.06%	
14	2016-07-01	2932.48	1.4250	1000.00	701.75	14000.00	11954.46	1.17	17035.11%	
15	2016-08-01	2953.39	1.3990	1000.00	714.80	15000.00	12669.26	1.18	17724.30%	
16	2016-09-01	3063.31	1.4830	1000.00	674.31	16000.00	13343.57	1.20	19788.51%	
17	2016-10-10	3048.14	1.1020	1000.00	907.44	17000.00	14251.01	1.19	15704.61%	
18	2016-11-01	3122.44	1.1160	1000.00	896.06	18000.00	15147.07	1.19	16904.13%	
19	2016-12-01	3273.31	1.1420	1000.00	875.66	19000.00	16022.72	1.19	18297.95%	
20	2016-12-31	3135.92	1.0760	1000.00	929.37	20000.00	16952.09	1.18	18240.45%	
21	2017-02-03	3140.17	1.0450	1000.00	956.94	21000.00	17909.03	1.17	18714.94%	
22	2017-03-01	3246.93	1.0820	1000.00	924.21	22000.00	18833.24	1.17	20377.57%	
23	2017-04-05	3270.31	1.0820	1000.00	924.21	23000.00	19757.46	1.16	21377.57%	
24	2017-05-02	3143.71	1.0060	1000.00	994.04	24000.00	20751.49	1.16	20876.00%	
