base[3300],ratio[0.0],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2016-06-01	2913.51	1.7110	1000.00	584.45	1000.00	584.45	1.71	1000.00%	
2	2016-07-01	2932.48	1.7066	1000.00	585.96	2000.00	1170.41	1.71	1997.43%	
3	2016-08-01	2953.39	1.7930	1000.00	557.72	3000.00	1728.14	1.74	3098.55%	
4	2016-09-01	3063.31	1.8539	1000.00	539.40	4000.00	2267.54	1.76	4203.80%	
5	2016-10-10	3048.14	1.8614	1000.00	537.23	5000.00	2804.77	1.78	5220.80%	
6	2016-11-01	3122.44	1.9126	1000.00	522.85	6000.00	3327.62	1.80	6364.41%	
7	2016-12-01	3273.31	2.0391	1000.00	490.41	7000.00	3818.03	1.83	7785.35%	
8	2016-12-31	3135.92	1.9312	1000.00	517.81	8000.00	4335.85	1.85	8373.39%	
9	2017-02-03	3140.17	1.9910	1000.00	502.26	9000.00	4838.11	1.86	9632.67%	
10	2017-03-01	3246.93	2.0673	1000.00	483.72	10000.00	5321.83	1.88	11001.82%	
11	2017-04-05	3270.31	2.1054	1000.00	474.97	11000.00	5796.80	1.90	12204.58%	
12	2017-05-02	3143.71	2.0492	1000.00	488.00	12000.00	6284.79	1.91	12878.80%	
