base[3300],ratio[0.0],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2016-06-01	2913.51	2.1530	1000.00	464.47	1000.00	464.47	2.15	1000.00%	
2	2016-07-01	2932.48	2.1930	1000.00	456.00	2000.00	920.46	2.17	2018.58%	
3	2016-08-01	2953.39	2.2020	1000.00	454.13	3000.00	1374.60	2.18	3026.86%	
4	2016-09-01	3063.31	2.3210	1000.00	430.85	4000.00	1805.45	2.22	4190.44%	
5	2016-10-10	3048.14	2.4040	1000.00	415.97	5000.00	2221.42	2.25	5340.29%	
6	2016-11-01	3122.44	2.3460	1000.00	426.26	6000.00	2647.68	2.27	6211.45%	
7	2016-12-01	3273.31	2.2950	1000.00	435.73	7000.00	3083.41	2.27	7076.42%	
8	2016-12-31	3135.92	2.2090	1000.00	452.69	8000.00	3536.10	2.26	7811.25%	
9	2017-02-03	3140.17	2.2330	1000.00	447.83	9000.00	3983.93	2.26	8896.11%	
10	2017-03-01	3246.93	2.3200	1000.00	431.03	10000.00	4414.96	2.27	10242.71%	
11	2017-04-05	3270.31	2.5300	1000.00	395.26	11000.00	4810.22	2.29	12169.86%	
12	2017-05-02	3143.71	2.5800	1000.00	387.60	12000.00	5197.82	2.31	13410.37%	
