base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2014-06-03	2038.31	0.9281	2000.00	2154.94	2000.00	2154.94	0.93	2000.00%	
2	2014-07-01	2050.38	0.9504	2000.00	2104.38	4000.00	4259.32	0.94	4048.06%	
3	2014-08-01	2185.30	1.0329	2000.00	1936.30	6000.00	6195.61	0.97	6399.45%	
4	2014-09-01	2235.51	1.0290	2000.00	1943.63	8000.00	8139.25	0.98	8375.29%	
5	2014-10-08	2382.79	1.0909	1900.00	1741.68	9900.00	9880.93	1.00	10779.11%	
6	2014-11-03	2430.03	1.1304	1800.00	1592.36	11700.00	11473.29	1.02	12969.40%	
7	2014-12-01	2680.16	1.2678	1600.00	1262.03	13300.00	12735.31	1.04	16145.83%	
8	2015-01-05	3350.52	1.7084	1000.00	585.34	14300.00	13320.66	1.07	22757.01%	
9	2015-02-02	3128.30	1.6027	1100.00	686.34	15400.00	14007.00	1.10	22449.02%	
10	2015-03-02	3336.28	1.7288	1000.00	578.44	16400.00	14585.44	1.12	25215.30%	
11	2015-04-01	3810.29	2.0203	500.00	247.49	16900.00	14832.92	1.14	29966.95%	
12	2015-05-04	4480.46	2.3564	500.00	212.19	17400.00	15045.11	1.16	35452.30%	
13	2015-06-01	4828.74	2.5380	500.00	197.01	17900.00	15242.12	1.17	38684.49%	
14	2015-07-01	4053.70	2.1868	500.00	228.64	18400.00	15470.76	1.19	33831.46%	
15	2015-08-03	3622.91	2.0187	700.00	346.76	19100.00	15817.52	1.21	31930.82%	
16	2015-09-01	3166.62	1.7462	1100.00	629.94	20200.00	16447.46	1.23	28720.55%	
17	2015-10-08	3143.36	1.7297	1100.00	635.95	21300.00	17083.41	1.25	29549.17%	
18	2015-11-02	3325.08	1.8252	1000.00	547.89	22300.00	17631.29	1.26	32180.63%	
19	2015-12-01	3456.31	1.9101	900.00	471.18	23200.00	18102.47	1.28	34577.53%	
20	2016-01-04	3296.26	1.8387	1000.00	543.86	24200.00	18646.33	1.30	34285.02%	
21	2016-02-01	2688.85	1.5440	1600.00	1036.27	25800.00	19682.60	1.31	30389.94%	
22	2016-03-01	2733.17	1.5745	1500.00	952.68	27300.00	20635.29	1.32	32490.26%	
23	2016-04-01	3009.53	1.7423	1200.00	688.74	28500.00	21324.03	1.34	37152.86%	
24	2016-05-03	2992.64	1.7356	1300.00	749.02	29800.00	22073.05	1.35	38309.99%	
25	2016-06-01	2913.51	1.7110	1300.00	759.79	31100.00	22832.84	1.36	39066.99%	
26	2016-07-01	2932.48	1.7066	1300.00	761.75	32400.00	23594.59	1.37	40266.53%	
27	2016-08-01	2953.39	1.7930	1300.00	725.04	33700.00	24319.63	1.39	43605.10%	
28	2016-09-01	3063.31	1.8539	1200.00	647.28	34900.00	24966.92	1.40	46286.17%	
29	2016-10-10	3048.14	1.8614	1200.00	644.68	36100.00	25611.59	1.41	47673.42%	
30	2016-11-01	3122.44	1.9126	1100.00	575.13	37200.00	26186.73	1.42	50084.73%	
31	2016-12-01	3273.31	2.0391	1000.00	490.41	38200.00	26677.14	1.43	54397.35%	
32	2016-12-31	3135.92	1.9312	1100.00	569.59	39300.00	27246.73	1.44	52618.89%	
33	2017-02-03	3140.17	1.9910	1100.00	552.49	40400.00	27799.22	1.45	55348.25%	
34	2017-03-01	3246.93	2.0673	1000.00	483.72	41400.00	28282.94	1.46	58469.33%	
35	2017-04-05	3270.31	2.1054	1000.00	474.97	42400.00	28757.91	1.47	60546.91%	
36	2017-05-02	3143.71	2.0492	1100.00	536.79	43500.00	29294.71	1.48	60030.71%	
