base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2016-06-01	2913.51	1.2330	1300.00	1054.34	1300.00	1054.34	1.23	1300.00%	
2	2016-07-01	2932.48	1.2990	1300.00	1000.77	2600.00	2055.11	1.27	2669.59%	
3	2016-08-01	2953.39	1.2640	1300.00	1028.48	3900.00	3083.59	1.26	3897.66%	
4	2016-09-01	3063.31	1.3450	1200.00	892.19	5100.00	3975.78	1.28	5347.43%	
5	2016-10-10	3048.14	1.4380	1200.00	834.49	6300.00	4810.28	1.31	6917.18%	
6	2016-11-01	3122.44	1.5030	1100.00	731.87	7400.00	5542.14	1.34	8329.84%	
7	2016-12-01	3273.31	1.5980	1000.00	625.78	8400.00	6167.93	1.36	9856.35%	
8	2016-12-31	3135.92	1.5460	1100.00	711.51	9500.00	6879.44	1.38	10635.62%	
9	2017-02-03	3140.17	1.4920	1100.00	737.27	10600.00	7616.71	1.39	11364.13%	
10	2017-03-01	3246.93	1.5550	1000.00	643.09	11600.00	8259.79	1.40	12843.98%	
11	2017-04-05	3270.31	1.5410	1000.00	648.93	12600.00	8908.72	1.41	13728.34%	
12	2017-05-02	3143.71	1.4150	1100.00	777.39	13700.00	9686.11	1.41	13705.84%	
