base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-06-01	4828.74	2.4690	500.00	202.51	500.00	202.51	2.47	500.00%	
2	2015-07-01	4053.70	1.7470	650.00	372.07	1150.00	574.58	2.00	1003.79%	
3	2015-08-03	3622.91	1.5310	850.00	555.19	2000.00	1129.77	1.77	1729.68%	
4	2015-09-01	3166.62	1.3490	1050.00	778.35	3050.00	1908.12	1.60	2574.06%	
5	2015-10-08	3143.36	1.4200	1050.00	739.44	4100.00	2647.56	1.55	3759.54%	
6	2015-11-02	3325.08	1.6090	1000.00	621.50	5100.00	3269.07	1.56	5259.93%	
7	2015-12-01	3456.31	1.2920	950.00	735.29	6050.00	4004.36	1.51	5173.63%	
8	2016-01-04	3296.26	1.2940	1000.00	772.80	7050.00	4777.16	1.48	6181.64%	
9	2016-02-01	2688.85	0.9830	1300.00	1322.48	8350.00	6099.64	1.37	5995.95%	
10	2016-03-01	2733.17	0.9950	1250.00	1256.28	9600.00	7355.92	1.31	7319.14%	
11	2016-04-01	3009.53	1.1520	1100.00	954.86	10700.00	8310.78	1.29	9574.02%	
12	2016-05-03	2992.64	1.2300	1150.00	934.96	11850.00	9245.74	1.28	11372.26%	
13	2016-06-01	2913.51	1.2330	1150.00	932.68	13000.00	10178.43	1.28	12550.00%	
14	2016-07-01	2932.48	1.2990	1150.00	885.30	14150.00	11063.72	1.28	14371.77%	
15	2016-08-01	2953.39	1.2640	1150.00	909.81	15300.00	11973.53	1.28	15134.55%	
16	2016-09-01	3063.31	1.3450	1100.00	817.84	16400.00	12791.38	1.28	17204.40%	
17	2016-10-10	3048.14	1.4380	1100.00	764.95	17500.00	13556.33	1.29	19494.00%	
18	2016-11-01	3122.44	1.5030	1050.00	698.60	18550.00	14254.93	1.30	21425.16%	
19	2016-12-01	3273.31	1.5980	1000.00	625.78	19550.00	14880.71	1.31	23779.38%	
20	2016-12-31	3135.92	1.5460	1050.00	679.17	20600.00	15559.88	1.32	24055.58%	
21	2017-02-03	3140.17	1.4920	1050.00	703.75	21650.00	16263.64	1.33	24265.35%	
22	2017-03-01	3246.93	1.5550	1000.00	643.09	22650.00	16906.72	1.34	26289.96%	
23	2017-04-05	3270.31	1.5410	1000.00	648.93	23650.00	17555.65	1.35	27053.26%	
24	2017-05-02	3143.71	1.4150	1050.00	742.05	24700.00	18297.70	1.35	25891.25%	
