base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-06-01	4828.74	2.4690	500.00	202.51	500.00	202.51	2.47	500.00%	
2	2015-07-01	4053.70	1.7470	500.00	286.20	1000.00	488.72	2.05	853.79%	
3	2015-08-03	3622.91	1.5310	700.00	457.22	1700.00	945.93	1.80	1448.22%	
4	2015-09-01	3166.62	1.3490	1100.00	815.42	2800.00	1761.35	1.59	2376.06%	
5	2015-10-08	3143.36	1.4200	1100.00	774.65	3900.00	2536.00	1.54	3601.12%	
6	2015-11-02	3325.08	1.6090	1000.00	621.50	4900.00	3157.50	1.55	5080.42%	
7	2015-12-01	3456.31	1.2920	900.00	696.59	5800.00	3854.10	1.50	4979.50%	
8	2016-01-04	3296.26	1.2940	1000.00	772.80	6800.00	4626.90	1.47	5987.20%	
9	2016-02-01	2688.85	0.9830	1600.00	1627.67	8400.00	6254.57	1.34	6148.24%	
10	2016-03-01	2733.17	0.9950	1500.00	1507.54	9900.00	7762.10	1.28	7723.29%	
11	2016-04-01	3009.53	1.1520	1200.00	1041.67	11100.00	8803.77	1.26	10141.94%	
12	2016-05-03	2992.64	1.2300	1300.00	1056.91	12400.00	9860.68	1.26	12128.64%	
13	2016-06-01	2913.51	1.2330	1300.00	1054.34	13700.00	10915.02	1.26	13458.22%	
14	2016-07-01	2932.48	1.2990	1300.00	1000.77	15000.00	11915.79	1.26	15478.61%	
15	2016-08-01	2953.39	1.2640	1300.00	1028.48	16300.00	12944.27	1.26	16361.56%	
16	2016-09-01	3063.31	1.3450	1200.00	892.19	17500.00	13836.46	1.26	18610.05%	
17	2016-10-10	3048.14	1.4380	1200.00	834.49	18700.00	14670.96	1.27	21096.84%	
18	2016-11-01	3122.44	1.5030	1100.00	731.87	19800.00	15402.83	1.29	23150.45%	
19	2016-12-01	3273.31	1.5980	1000.00	625.78	20800.00	16028.61	1.30	25613.72%	
20	2016-12-31	3135.92	1.5460	1100.00	711.51	21900.00	16740.12	1.31	25880.23%	
21	2017-02-03	3140.17	1.4920	1100.00	737.27	23000.00	17477.39	1.32	26076.26%	
22	2017-03-01	3246.93	1.5550	1000.00	643.09	24000.00	18120.47	1.32	28177.34%	
23	2017-04-05	3270.31	1.5410	1000.00	648.93	25000.00	18769.40	1.33	28923.65%	
24	2017-05-02	3143.71	1.4150	1100.00	777.39	26100.00	19546.79	1.34	27658.71%	
