base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-02-04	3174.13	1.0000	1050.00	1050.00	1050.00	1050.00	1.00	1050.00%	
2	2015-03-06	3241.19	1.0230	1000.00	977.52	2050.00	2027.52	1.01	2074.15%	
3	2015-04-01	3810.29	1.0650	750.00	704.23	2800.00	2731.74	1.02	2909.31%	
4	2015-05-04	4480.46	1.1990	500.00	417.01	3300.00	3148.76	1.05	3775.36%	
5	2015-06-01	4828.74	1.5300	500.00	326.80	3800.00	3475.55	1.09	5317.60%	
6	2015-07-01	4053.70	1.2330	650.00	527.17	4450.00	4002.72	1.11	4935.36%	
7	2015-08-03	3622.91	1.0130	850.00	839.09	5300.00	4841.82	1.09	4904.76%	
8	2015-09-01	3166.62	0.8670	1050.00	1211.07	6350.00	6052.89	1.05	5247.85%	
9	2015-10-08	3143.36	0.9500	1050.00	1105.26	7400.00	7158.15	1.03	6800.24%	
10	2015-11-02	3325.08	1.1080	1000.00	902.53	8400.00	8060.68	1.04	8931.23%	
11	2015-12-01	3456.31	1.3230	950.00	718.07	9350.00	8778.74	1.07	11614.28%	
12	2016-01-04	3296.26	1.3120	1000.00	762.20	10350.00	9540.94	1.08	12517.71%	
13	2016-02-01	2688.85	1.0780	1300.00	1205.94	11650.00	10746.88	1.08	11585.13%	
14	2016-03-01	2733.17	1.0800	1250.00	1157.41	12900.00	11904.28	1.08	12856.63%	
15	2016-04-01	3009.53	1.2530	1100.00	877.89	14000.00	12782.18	1.10	16016.07%	
16	2016-05-03	2992.64	1.3130	1150.00	875.86	15150.00	13658.03	1.11	17933.00%	
17	2016-06-01	2913.51	1.3140	1150.00	875.19	16300.00	14533.22	1.12	19096.65%	
18	2016-07-01	2932.48	1.4250	1150.00	807.02	17450.00	15340.24	1.14	21859.84%	
19	2016-08-01	2953.39	1.3990	1150.00	822.02	18600.00	16162.26	1.15	22611.00%	
20	2016-09-01	3063.31	1.4830	1100.00	741.74	19700.00	16904.00	1.17	25068.63%	
21	2016-10-10	3048.14	1.1020	1100.00	998.19	20800.00	17902.18	1.16	19728.20%	
22	2016-11-01	3122.44	1.1160	1050.00	940.86	21850.00	18843.04	1.16	21028.83%	
23	2016-12-01	3273.31	1.1420	1000.00	875.66	22850.00	19718.70	1.16	22518.75%	
24	2016-12-31	3135.92	1.0760	1050.00	975.84	23900.00	20694.53	1.15	22267.32%	
25	2017-02-03	3140.17	1.0450	1050.00	1004.78	24950.00	21699.32	1.15	22675.79%	
26	2017-03-01	3246.93	1.0820	1000.00	924.21	25950.00	22623.53	1.15	24478.66%	
27	2017-04-05	3270.31	1.0820	1000.00	924.21	26950.00	23547.75	1.14	25478.66%	
28	2017-05-02	3143.71	1.0060	1050.00	1043.74	28000.00	24591.49	1.14	24739.04%	
