base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-06-01	4828.74	1.5300	500.00	326.80	500.00	326.80	1.53	500.00%	
2	2015-07-01	4053.70	1.2330	500.00	405.51	1000.00	732.31	1.37	902.94%	
3	2015-08-03	3622.91	1.0130	700.00	691.02	1700.00	1423.33	1.19	1441.83%	
4	2015-09-01	3166.62	0.8670	1100.00	1268.74	2800.00	2692.07	1.04	2334.03%	
5	2015-10-08	3143.36	0.9500	1100.00	1157.89	3900.00	3849.97	1.01	3657.47%	
6	2015-11-02	3325.08	1.1080	1000.00	902.53	4900.00	4752.49	1.03	5265.76%	
7	2015-12-01	3456.31	1.3230	900.00	680.27	5800.00	5432.77	1.07	7187.55%	
8	2016-01-04	3296.26	1.3120	1000.00	762.20	6800.00	6194.96	1.10	8127.79%	
9	2016-02-01	2688.85	1.0780	1600.00	1484.23	8400.00	7679.19	1.09	8278.17%	
10	2016-03-01	2733.17	1.0800	1500.00	1388.89	9900.00	9068.08	1.09	9793.53%	
11	2016-04-01	3009.53	1.2530	1200.00	957.70	11100.00	10025.78	1.11	12562.30%	
12	2016-05-03	2992.64	1.3130	1300.00	990.10	12400.00	11015.88	1.13	14463.85%	
13	2016-06-01	2913.51	1.3140	1300.00	989.35	13700.00	12005.23	1.14	15774.87%	
14	2016-07-01	2932.48	1.4250	1300.00	912.28	15000.00	12917.51	1.16	18407.45%	
15	2016-08-01	2953.39	1.3990	1300.00	929.24	16300.00	13846.74	1.18	19371.59%	
16	2016-09-01	3063.31	1.4830	1200.00	809.17	17500.00	14655.91	1.19	21734.72%	
17	2016-10-10	3048.14	1.1020	1200.00	1088.93	18700.00	15744.84	1.19	17350.82%	
18	2016-11-01	3122.44	1.1160	1100.00	985.66	19800.00	16730.50	1.18	18671.24%	
19	2016-12-01	3273.31	1.1420	1000.00	875.66	20800.00	17606.16	1.18	20106.24%	
20	2016-12-31	3135.92	1.0760	1100.00	1022.30	21900.00	18628.47	1.18	20044.23%	
21	2017-02-03	3140.17	1.0450	1100.00	1052.63	23000.00	19681.10	1.17	20566.75%	
22	2017-03-01	3246.93	1.0820	1000.00	924.21	24000.00	20605.31	1.16	22294.95%	
23	2017-04-05	3270.31	1.0820	1000.00	924.21	25000.00	21529.53	1.16	23294.95%	
24	2017-05-02	3143.71	1.0060	1100.00	1093.44	26100.00	22622.97	1.15	22758.70%	
