base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2016-06-01	2913.51	1.3140	1150.00	875.19	1150.00	875.19	1.31	1150.00%	
2	2016-07-01	2932.48	1.4250	1150.00	807.02	2300.00	1682.21	1.37	2397.15%	
3	2016-08-01	2953.39	1.3990	1150.00	822.02	3450.00	2504.22	1.38	3503.41%	
4	2016-09-01	3063.31	1.4830	1100.00	741.74	4550.00	3245.96	1.40	4813.76%	
5	2016-10-10	3048.14	1.1020	1100.00	998.19	5650.00	4244.15	1.33	4677.05%	
6	2016-11-01	3122.44	1.1160	1050.00	940.86	6700.00	5185.01	1.29	5786.47%	
7	2016-12-01	3273.31	1.1420	1000.00	875.66	7700.00	6060.67	1.27	6921.28%	
8	2016-12-31	3135.92	1.0760	1050.00	975.84	8750.00	7036.50	1.24	7571.28%	
9	2017-02-03	3140.17	1.0450	1050.00	1004.78	9800.00	8041.29	1.22	8403.14%	
10	2017-03-01	3246.93	1.0820	1000.00	924.21	10800.00	8965.50	1.20	9700.67%	
11	2017-04-05	3270.31	1.0820	1000.00	924.21	11800.00	9889.72	1.19	10700.67%	
12	2017-05-02	3143.71	1.0060	1050.00	1043.74	12850.00	10933.45	1.18	10999.05%	
