base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-06-01	4828.74	2.8091	500.00	177.99	500.00	177.99	2.81	500.00%	
2	2015-07-01	4053.70	2.2956	650.00	283.15	1150.00	461.14	2.49	1058.60%	
3	2015-08-03	3622.91	1.9729	850.00	430.84	2000.00	891.98	2.24	1759.79%	
4	2015-09-01	3166.62	1.6179	1050.00	648.99	3050.00	1540.97	1.98	2493.14%	
5	2015-10-08	3143.36	1.7271	1050.00	607.96	4100.00	2148.93	1.91	3711.41%	
6	2015-11-02	3325.08	1.9534	1000.00	511.93	5100.00	2660.85	1.92	5197.71%	
7	2015-12-01	3456.31	2.1403	950.00	443.86	6050.00	3104.72	1.95	6645.03%	
8	2016-01-04	3296.26	2.0875	1000.00	479.04	7050.00	3583.76	1.97	7481.10%	
9	2016-02-01	2688.85	1.6724	1300.00	777.33	8350.00	4361.08	1.91	7293.48%	
10	2016-03-01	2733.17	1.6996	1250.00	735.47	9600.00	5096.55	1.88	8662.10%	
11	2016-04-01	3009.53	1.9560	1100.00	562.37	10700.00	5658.92	1.89	11068.86%	
12	2016-05-03	2992.64	2.0173	1150.00	570.07	11850.00	6228.99	1.90	12565.75%	
13	2016-06-01	2913.51	1.9808	1150.00	580.57	13000.00	6809.57	1.91	13488.39%	
14	2016-07-01	2932.48	2.0752	1150.00	554.16	14150.00	7363.73	1.92	15281.21%	
15	2016-08-01	2953.39	2.1121	1150.00	544.48	15300.00	7908.21	1.93	16702.93%	
16	2016-09-01	3063.31	2.2427	1100.00	490.48	16400.00	8398.69	1.95	18835.75%	
17	2016-10-10	3048.14	2.2823	1100.00	481.97	17500.00	8880.66	1.97	20268.34%	
18	2016-11-01	3122.44	2.3351	1050.00	449.66	18550.00	9330.32	1.99	21787.23%	
19	2016-12-01	3273.31	2.3952	1000.00	417.50	19550.00	9747.82	2.01	23347.99%	
20	2016-12-31	3135.92	2.2802	1050.00	460.49	20600.00	10208.31	2.02	23276.99%	
21	2017-02-03	3140.17	2.2655	1050.00	463.47	21650.00	10671.78	2.03	24176.93%	
22	2017-03-01	3246.93	2.3769	1000.00	420.72	22650.00	11092.50	2.04	26365.76%	
23	2017-04-05	3270.31	2.4168	1000.00	413.77	23650.00	11506.27	2.06	27808.35%	
24	2017-05-02	3143.71	2.2987	1050.00	456.78	24700.00	11963.05	2.06	27499.46%	
