base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2016-06-01	2913.51	1.7110	1150.00	672.12	1150.00	672.12	1.71	1150.00%	
2	2016-07-01	2932.48	1.7066	1150.00	673.85	2300.00	1345.98	1.71	2297.04%	
3	2016-08-01	2953.39	1.7930	1150.00	641.38	3450.00	1987.36	1.74	3563.34%	
4	2016-09-01	3063.31	1.8539	1100.00	593.34	4550.00	2580.70	1.76	4784.37%	
5	2016-10-10	3048.14	1.8614	1100.00	590.95	5650.00	3171.66	1.78	5903.72%	
6	2016-11-01	3122.44	1.9126	1050.00	548.99	6700.00	3720.65	1.80	7116.11%	
7	2016-12-01	3273.31	2.0391	1000.00	490.41	7700.00	4211.06	1.83	8586.77%	
8	2016-12-31	3135.92	1.9312	1050.00	543.70	8750.00	4754.76	1.84	9182.40%	
9	2017-02-03	3140.17	1.9910	1050.00	527.37	9800.00	5282.14	1.86	10516.73%	
10	2017-03-01	3246.93	2.0673	1000.00	483.72	10800.00	5765.86	1.87	11919.76%	
11	2017-04-05	3270.31	2.1054	1000.00	474.97	11800.00	6240.83	1.89	13139.44%	
12	2017-05-02	3143.71	2.0492	1050.00	512.40	12850.00	6753.22	1.90	13838.70%	
