base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2014-01-27	2033.30	1.0000	1600.00	1600.00	1600.00	1600.00	1.00	1600.00%	
2	2014-02-07	2044.50	1.0012	1600.00	1598.08	3200.00	3198.08	1.00	3201.92%	
3	2014-03-07	2057.91	0.9973	1600.00	1604.33	4800.00	4802.41	1.00	4789.45%	
4	2014-04-01	2047.46	0.9929	1600.00	1611.44	6400.00	6413.86	1.00	6368.32%	
5	2014-05-05	2027.35	0.9728	1600.00	1644.74	8000.00	8058.59	0.99	7839.40%	
6	2014-06-03	2038.31	0.9802	1600.00	1632.32	9600.00	9690.91	0.99	9499.03%	
7	2014-07-01	2050.38	1.0250	1600.00	1560.98	11200.00	11251.89	1.00	11533.18%	
8	2014-08-01	2185.30	1.0873	1550.00	1425.55	12750.00	12677.44	1.01	13784.18%	
9	2014-09-01	2235.51	1.1763	1500.00	1275.18	14250.00	13952.62	1.02	16412.47%	
10	2014-10-08	2382.79	1.3015	1450.00	1114.10	15700.00	15066.72	1.04	19609.34%	
11	2014-11-03	2430.03	1.3125	1400.00	1066.67	17100.00	16133.39	1.06	21175.07%	
12	2014-12-01	2680.16	1.3520	1300.00	961.54	18400.00	17094.93	1.08	23112.34%	
13	2015-01-05	3350.52	1.3955	1000.00	716.59	19400.00	17811.52	1.09	24855.97%	
14	2015-02-02	3128.30	1.4834	1050.00	707.83	20450.00	18519.35	1.10	27471.60%	
15	2015-03-02	3336.28	1.6503	1000.00	605.95	21450.00	19125.30	1.12	31562.48%	
16	2015-04-01	3810.29	1.9921	750.00	376.49	22200.00	19501.79	1.14	38849.51%	
17	2015-05-04	4480.46	2.2635	500.00	220.90	22700.00	19722.68	1.15	44642.29%	
18	2015-06-01	4828.74	2.8091	500.00	177.99	23200.00	19900.68	1.17	55902.99%	
19	2015-07-01	4053.70	2.2956	650.00	283.15	23850.00	20183.83	1.18	46333.99%	
20	2015-08-03	3622.91	1.9729	850.00	430.84	24700.00	20614.66	1.20	40670.67%	
21	2015-09-01	3166.62	1.6179	1050.00	648.99	25750.00	21263.65	1.21	34402.47%	
22	2015-10-08	3143.36	1.7271	1050.00	607.96	26800.00	21871.61	1.23	37774.46%	
23	2015-11-02	3325.08	1.9534	1000.00	511.93	27800.00	22383.54	1.24	43724.00%	
24	2015-12-01	3456.31	2.1403	950.00	443.86	28750.00	22827.40	1.26	48857.49%	
25	2016-01-04	3296.26	2.0875	1000.00	479.04	29750.00	23306.44	1.28	48652.20%	
26	2016-02-01	2688.85	1.6724	1300.00	777.33	31050.00	24083.77	1.29	40277.69%	
27	2016-03-01	2733.17	1.6996	1250.00	735.47	32300.00	24819.24	1.30	42182.77%	
28	2016-04-01	3009.53	1.9560	1100.00	562.37	33400.00	25381.61	1.32	49646.42%	
29	2016-05-03	2992.64	2.0173	1150.00	570.07	34550.00	25951.68	1.33	52352.31%	
30	2016-06-01	2913.51	1.9808	1150.00	580.57	35700.00	26532.25	1.35	52555.08%	
31	2016-07-01	2932.48	2.0752	1150.00	554.16	36850.00	27086.41	1.36	56209.73%	
32	2016-08-01	2953.39	2.1121	1150.00	544.48	38000.00	27630.90	1.38	58359.21%	
33	2016-09-01	3063.31	2.2427	1100.00	490.48	39100.00	28121.38	1.39	63067.81%	
34	2016-10-10	3048.14	2.2823	1100.00	481.97	40200.00	28603.35	1.41	65281.41%	
35	2016-11-01	3122.44	2.3351	1050.00	449.66	41250.00	29053.00	1.42	67841.67%	
36	2016-12-01	3273.31	2.3952	1000.00	417.50	42250.00	29470.51	1.43	70587.76%	
37	2016-12-31	3135.92	2.2802	1050.00	460.49	43300.00	29930.99	1.45	68248.65%	
38	2017-02-03	3140.17	2.2655	1050.00	463.47	44350.00	30394.47	1.46	68858.67%	
39	2017-03-01	3246.93	2.3769	1000.00	420.72	45350.00	30815.18	1.47	73244.61%	
40	2017-04-05	3270.31	2.4168	1000.00	413.77	46350.00	31228.95	1.48	75474.13%	
41	2017-05-02	3143.71	2.2987	1050.00	456.78	47400.00	31685.73	1.50	72836.00%	
