base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2016-06-01	2913.51	1.9808	1300.00	656.30	1300.00	656.30	1.98	1300.00%	
2	2016-07-01	2932.48	2.0752	1300.00	626.45	2600.00	1282.75	2.03	2661.95%	
3	2016-08-01	2953.39	2.1121	1300.00	615.50	3900.00	1898.25	2.05	4009.29%	
4	2016-09-01	3063.31	2.2427	1200.00	535.07	5100.00	2433.32	2.10	5457.20%	
5	2016-10-10	3048.14	2.2823	1200.00	525.79	6300.00	2959.10	2.13	6753.56%	
6	2016-11-01	3122.44	2.3351	1100.00	471.07	7400.00	3430.17	2.16	8009.80%	
7	2016-12-01	3273.31	2.3952	1000.00	417.50	8400.00	3847.68	2.18	9215.95%	
8	2016-12-31	3135.92	2.2802	1100.00	482.41	9500.00	4330.09	2.19	9873.47%	
9	2017-02-03	3140.17	2.2655	1100.00	485.54	10600.00	4815.63	2.20	10909.82%	
10	2017-03-01	3246.93	2.3769	1000.00	420.72	11600.00	5236.35	2.22	12446.28%	
11	2017-04-05	3270.31	2.4168	1000.00	413.77	12600.00	5650.12	2.23	13655.21%	
12	2017-05-02	3143.71	2.2987	1100.00	478.53	13700.00	6128.65	2.24	14087.93%	
