base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2014-06-03	2038.31	0.8460	1600.00	1891.25	1600.00	1891.25	0.85	1600.00%	
2	2014-07-01	2050.38	0.8640	1600.00	1851.85	3200.00	3743.10	0.85	3234.04%	
3	2014-08-01	2185.30	0.9080	1550.00	1707.05	4750.00	5450.15	0.87	4948.74%	
4	2014-09-01	2235.51	0.9450	1500.00	1587.30	6250.00	7037.45	0.89	6650.39%	
5	2014-10-08	2382.79	1.0190	1450.00	1422.96	7700.00	8460.42	0.91	8621.17%	
6	2014-11-03	2430.03	1.0320	1400.00	1356.59	9100.00	9817.01	0.93	10131.15%	
7	2014-12-01	2680.16	1.1270	1300.00	1153.50	10400.00	10970.51	0.95	12363.77%	
8	2015-01-05	3350.52	1.1760	1000.00	850.34	11400.00	11820.85	0.96	13901.32%	
9	2015-02-02	3128.30	1.2280	1050.00	855.05	12450.00	12675.90	0.98	15566.01%	
10	2015-03-02	3336.28	1.3080	1000.00	764.53	13450.00	13440.43	1.00	17580.08%	
11	2015-04-01	3810.29	1.6140	750.00	464.68	14200.00	13905.11	1.02	22442.85%	
12	2015-05-04	4480.46	1.8000	500.00	277.78	14700.00	14182.89	1.04	25529.20%	
13	2015-06-01	4828.74	2.4690	500.00	202.51	15200.00	14385.40	1.06	35517.56%	
14	2015-07-01	4053.70	1.7470	650.00	372.07	15850.00	14757.47	1.07	25781.29%	
15	2015-08-03	3622.91	1.5310	850.00	555.19	16700.00	15312.66	1.09	23443.68%	
16	2015-09-01	3166.62	1.3490	1050.00	778.35	17750.00	16091.01	1.10	21706.78%	
17	2015-10-08	3143.36	1.4200	1050.00	739.44	18800.00	16830.45	1.12	23899.24%	
18	2015-11-02	3325.08	1.6090	1000.00	621.50	19800.00	17451.95	1.13	28080.19%	
19	2015-12-01	3456.31	1.2920	950.00	735.29	20750.00	18187.25	1.14	23497.93%	
20	2016-01-04	3296.26	1.2940	1000.00	772.80	21750.00	18960.05	1.15	24534.30%	
21	2016-02-01	2688.85	0.9830	1300.00	1322.48	23050.00	20282.53	1.14	19937.73%	
22	2016-03-01	2733.17	0.9950	1250.00	1256.28	24300.00	21538.81	1.13	21431.12%	
23	2016-04-01	3009.53	1.1520	1100.00	954.86	25400.00	22493.67	1.13	25912.71%	
24	2016-05-03	2992.64	1.2300	1150.00	934.96	26550.00	23428.63	1.13	28817.22%	
25	2016-06-01	2913.51	1.2330	1150.00	932.68	27700.00	24361.31	1.14	30037.50%	
26	2016-07-01	2932.48	1.2990	1150.00	885.30	28850.00	25246.61	1.14	32795.35%	
27	2016-08-01	2953.39	1.2640	1150.00	909.81	30000.00	26156.42	1.15	33061.72%	
28	2016-09-01	3063.31	1.3450	1100.00	817.84	31100.00	26974.27	1.15	36280.39%	
29	2016-10-10	3048.14	1.4380	1100.00	764.95	32200.00	27739.22	1.16	39888.99%	
30	2016-11-01	3122.44	1.5030	1050.00	698.60	33250.00	28437.82	1.17	42742.04%	
31	2016-12-01	3273.31	1.5980	1000.00	625.78	34250.00	29063.60	1.18	46443.64%	
32	2016-12-31	3135.92	1.5460	1050.00	679.17	35300.00	29742.77	1.19	45982.33%	
33	2017-02-03	3140.17	1.4920	1050.00	703.75	36350.00	30446.53	1.19	45426.22%	
34	2017-03-01	3246.93	1.5550	1000.00	643.09	37350.00	31089.61	1.20	48344.35%	
35	2017-04-05	3270.31	1.5410	1000.00	648.93	38350.00	31738.54	1.21	48909.09%	
36	2017-05-02	3143.71	1.4150	1050.00	742.05	39400.00	32480.59	1.21	45960.04%	
