base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2014-01-27	2033.30	1.0000	2000.00	2000.00	2000.00	2000.00	1.00	2000.00%	
2	2014-02-07	2044.50	1.0012	2000.00	1997.60	4000.00	3997.60	1.00	4002.40%	
3	2014-03-07	2057.91	0.9973	2000.00	2005.41	6000.00	6003.02	1.00	5986.81%	
4	2014-04-01	2047.46	0.9929	2000.00	2014.30	8000.00	8017.32	1.00	7960.40%	
5	2014-05-05	2027.35	0.9728	2000.00	2055.92	10000.00	10073.24	0.99	9799.25%	
6	2014-06-03	2038.31	0.9802	2000.00	2040.40	12000.00	12113.64	0.99	11873.79%	
7	2014-07-01	2050.38	1.0250	2000.00	1951.22	14000.00	14064.86	1.00	14416.48%	
8	2014-08-01	2185.30	1.0873	2000.00	1839.42	16000.00	15904.28	1.01	17292.72%	
9	2014-09-01	2235.51	1.1763	2000.00	1700.25	18000.00	17604.52	1.02	20708.20%	
10	2014-10-08	2382.79	1.3015	1900.00	1459.85	19900.00	19064.38	1.04	24812.29%	
11	2014-11-03	2430.03	1.3125	1800.00	1371.43	21700.00	20435.81	1.06	26822.00%	
12	2014-12-01	2680.16	1.3520	1600.00	1183.43	23300.00	21619.24	1.08	29229.21%	
13	2015-01-05	3350.52	1.3955	1000.00	716.59	24300.00	22335.83	1.09	31169.65%	
14	2015-02-02	3128.30	1.4834	1100.00	741.54	25400.00	23077.37	1.10	34232.97%	
15	2015-03-02	3336.28	1.6503	1000.00	605.95	26400.00	23683.32	1.11	39084.58%	
16	2015-04-01	3810.29	1.9921	500.00	250.99	26900.00	23934.31	1.12	47679.54%	
17	2015-05-04	4480.46	2.2635	500.00	220.90	27400.00	24155.21	1.13	54675.31%	
18	2015-06-01	4828.74	2.8091	500.00	177.99	27900.00	24333.20	1.15	68354.39%	
19	2015-07-01	4053.70	2.2956	500.00	217.81	28400.00	24551.01	1.16	56359.29%	
20	2015-08-03	3622.91	1.9729	700.00	354.81	29100.00	24905.82	1.17	49136.68%	
21	2015-09-01	3166.62	1.6179	1100.00	679.89	30200.00	25585.71	1.18	41395.12%	
22	2015-10-08	3143.36	1.7271	1100.00	636.91	31300.00	26222.62	1.19	45289.08%	
23	2015-11-02	3325.08	1.9534	1000.00	511.93	32300.00	26734.54	1.21	52223.26%	
24	2015-12-01	3456.31	2.1403	900.00	420.50	33200.00	27155.04	1.22	58119.94%	
25	2016-01-04	3296.26	2.0875	1000.00	479.04	34200.00	27634.09	1.24	57686.16%	
26	2016-02-01	2688.85	1.6724	1600.00	956.71	35800.00	28590.80	1.25	47815.25%	
27	2016-03-01	2733.17	1.6996	1500.00	882.56	37300.00	29473.36	1.27	50092.92%	
28	2016-04-01	3009.53	1.9560	1200.00	613.50	38500.00	30086.85	1.28	58849.88%	
29	2016-05-03	2992.64	2.0173	1300.00	644.43	39800.00	30731.28	1.30	61994.21%	
30	2016-06-01	2913.51	1.9808	1300.00	656.30	41100.00	31387.58	1.31	62172.52%	
31	2016-07-01	2932.48	2.0752	1300.00	626.45	42400.00	32014.02	1.32	66435.51%	
32	2016-08-01	2953.39	2.1121	1300.00	615.50	43700.00	32629.53	1.34	68916.82%	
33	2016-09-01	3063.31	2.2427	1200.00	535.07	44900.00	33164.60	1.35	74378.24%	
34	2016-10-10	3048.14	2.2823	1200.00	525.79	46100.00	33690.38	1.37	76891.56%	
35	2016-11-01	3122.44	2.3351	1100.00	471.07	47200.00	34161.45	1.38	79770.41%	
36	2016-12-01	3273.31	2.3952	1000.00	417.50	48200.00	34578.95	1.39	82823.51%	
37	2016-12-31	3135.92	2.2802	1100.00	482.41	49300.00	35061.37	1.41	79946.93%	
38	2017-02-03	3140.17	2.2655	1100.00	485.54	50400.00	35546.91	1.42	80531.53%	
39	2017-03-01	3246.93	2.3769	1000.00	420.72	51400.00	35967.63	1.43	85491.45%	
40	2017-04-05	3270.31	2.4168	1000.00	413.77	52400.00	36381.40	1.44	87926.56%	
41	2017-05-02	3143.71	2.2987	1100.00	478.53	53500.00	36859.93	1.45	84729.92%	
