base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-06-01	4828.74	2.1710	500.00	230.31	500.00	230.31	2.17	500.00%	
2	2015-07-01	4053.70	1.7030	500.00	293.60	1000.00	523.91	1.91	892.22%	
3	2015-08-03	3622.91	1.4930	700.00	468.85	1700.00	992.76	1.71	1482.19%	
4	2015-09-01	3166.62	1.3150	1100.00	836.50	2800.00	1829.26	1.53	2405.48%	
5	2015-10-08	3143.36	1.5020	1100.00	732.36	3900.00	2561.62	1.52	3847.56%	
6	2015-11-02	3325.08	1.7190	1000.00	581.73	4900.00	3143.36	1.56	5403.43%	
7	2015-12-01	3456.31	2.0390	900.00	441.39	5800.00	3584.75	1.62	7309.30%	
8	2016-01-04	3296.26	1.9930	1000.00	501.76	6800.00	4086.50	1.66	8144.40%	
9	2016-02-01	2688.85	1.7090	1600.00	936.22	8400.00	5022.72	1.67	8583.84%	
10	2016-03-01	2733.17	1.6740	1500.00	896.06	9900.00	5918.78	1.67	9908.04%	
11	2016-04-01	3009.53	1.9220	1200.00	624.35	11100.00	6543.13	1.70	12575.90%	
12	2016-05-03	2992.64	2.0690	1300.00	628.32	12400.00	7171.45	1.73	14837.74%	
13	2016-06-01	2913.51	2.1530	1300.00	603.81	13700.00	7775.26	1.76	16740.14%	
14	2016-07-01	2932.48	2.1930	1300.00	592.80	15000.00	8368.06	1.79	18351.15%	
15	2016-08-01	2953.39	2.2020	1300.00	590.37	16300.00	8958.43	1.82	19726.46%	
16	2016-09-01	3063.31	2.3210	1200.00	517.02	17500.00	9475.45	1.85	21992.52%	
17	2016-10-10	3048.14	2.4040	1200.00	499.17	18700.00	9974.62	1.87	23978.98%	
18	2016-11-01	3122.44	2.3460	1100.00	468.88	19800.00	10443.50	1.90	24500.45%	
19	2016-12-01	3273.31	2.2950	1000.00	435.73	20800.00	10879.23	1.91	24967.83%	
20	2016-12-31	3135.92	2.2090	1100.00	497.96	21900.00	11377.19	1.92	25132.22%	
21	2017-02-03	3140.17	2.2330	1100.00	492.61	23000.00	11869.80	1.94	26505.27%	
22	2017-03-01	3246.93	2.3200	1000.00	431.03	24000.00	12300.84	1.95	28537.94%	
23	2017-04-05	3270.31	2.5300	1000.00	395.26	25000.00	12696.09	1.97	32121.12%	
24	2017-05-02	3143.71	2.5800	1100.00	426.36	26100.00	13122.45	1.99	33855.92%	
