base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2014-06-03	2038.31	0.9802	1600.00	1632.32	1600.00	1632.32	0.98	1600.00%	
2	2014-07-01	2050.38	1.0250	1600.00	1560.98	3200.00	3193.30	1.00	3273.13%	
3	2014-08-01	2185.30	1.0873	1550.00	1425.55	4750.00	4618.85	1.03	5022.07%	
4	2014-09-01	2235.51	1.1763	1500.00	1275.18	6250.00	5894.03	1.06	6933.15%	
5	2014-10-08	2382.79	1.3015	1450.00	1114.10	7700.00	7008.13	1.10	9121.08%	
6	2014-11-03	2430.03	1.3125	1400.00	1066.67	9100.00	8074.80	1.13	10598.17%	
7	2014-12-01	2680.16	1.3520	1300.00	961.54	10400.00	9036.33	1.15	12217.12%	
8	2015-01-05	3350.52	1.3955	1000.00	716.59	11400.00	9752.92	1.17	13610.20%	
9	2015-02-02	3128.30	1.4834	1050.00	707.83	12450.00	10460.76	1.19	15517.49%	
10	2015-03-02	3336.28	1.6503	1000.00	605.95	13450.00	11066.71	1.22	18263.39%	
11	2015-04-01	3810.29	1.9921	750.00	376.49	14200.00	11443.19	1.24	22795.99%	
12	2015-05-04	4480.46	2.2635	500.00	220.90	14700.00	11664.09	1.26	26401.67%	
13	2015-06-01	4828.74	2.8091	500.00	177.99	15200.00	11842.08	1.28	33265.60%	
14	2015-07-01	4053.70	2.2956	650.00	283.15	15850.00	12125.23	1.31	27834.69%	
15	2015-08-03	3622.91	1.9729	850.00	430.84	16700.00	12556.07	1.33	24771.88%	
16	2015-09-01	3166.62	1.6179	1050.00	648.99	17750.00	13205.06	1.34	21364.47%	
17	2015-10-08	3143.36	1.7271	1050.00	607.96	18800.00	13813.02	1.36	23856.46%	
18	2015-11-02	3325.08	1.9534	1000.00	511.93	19800.00	14324.95	1.38	27982.35%	
19	2015-12-01	3456.31	2.1403	950.00	443.86	20750.00	14768.81	1.40	31609.68%	
20	2016-01-04	3296.26	2.0875	1000.00	479.04	21750.00	15247.85	1.43	31829.89%	
21	2016-02-01	2688.85	1.6724	1300.00	777.33	23050.00	16025.18	1.44	26800.50%	
22	2016-03-01	2733.17	1.6996	1250.00	735.47	24300.00	16760.64	1.45	28486.39%	
23	2016-04-01	3009.53	1.9560	1100.00	562.37	25400.00	17323.02	1.47	33883.82%	
24	2016-05-03	2992.64	2.0173	1150.00	570.07	26550.00	17893.08	1.48	36095.72%	
25	2016-06-01	2913.51	1.9808	1150.00	580.57	27700.00	18473.66	1.50	36592.62%	
26	2016-07-01	2932.48	2.0752	1150.00	554.16	28850.00	19027.82	1.52	39486.54%	
27	2016-08-01	2953.39	2.1121	1150.00	544.48	30000.00	19572.30	1.53	41338.66%	
28	2016-09-01	3063.31	2.2427	1100.00	490.48	31100.00	20062.78	1.55	44994.81%	
29	2016-10-10	3048.14	2.2823	1100.00	481.97	32200.00	20544.75	1.57	46889.29%	
30	2016-11-01	3122.44	2.3351	1050.00	449.66	33250.00	20994.41	1.58	49024.05%	
31	2016-12-01	3273.31	2.3952	1000.00	417.50	34250.00	21411.91	1.60	51285.82%	
32	2016-12-31	3135.92	2.2802	1050.00	460.49	35300.00	21872.40	1.61	49873.45%	
33	2017-02-03	3140.17	2.2655	1050.00	463.47	36350.00	22335.87	1.63	50601.92%	
34	2017-03-01	3246.93	2.3769	1000.00	420.72	37350.00	22756.59	1.64	54090.14%	
35	2017-04-05	3270.31	2.4168	1000.00	413.77	38350.00	23170.36	1.66	55998.13%	
36	2017-05-02	3143.71	2.2987	1050.00	456.78	39400.00	23627.14	1.67	54311.71%	
