base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2016-06-01	2913.51	1.9808	1150.00	580.57	1150.00	580.57	1.98	1150.00%	
2	2016-07-01	2932.48	2.0752	1150.00	554.16	2300.00	1134.74	2.03	2354.81%	
3	2016-08-01	2953.39	2.1121	1150.00	544.48	3450.00	1679.22	2.05	3546.68%	
4	2016-09-01	3063.31	2.2427	1100.00	490.48	4550.00	2169.70	2.10	4865.98%	
5	2016-10-10	3048.14	2.2823	1100.00	481.97	5650.00	2651.67	2.13	6051.90%	
6	2016-11-01	3122.44	2.3351	1050.00	449.66	6700.00	3101.33	2.16	7241.91%	
7	2016-12-01	3273.31	2.3952	1000.00	417.50	7700.00	3518.83	2.19	8428.30%	
8	2016-12-31	3135.92	2.2802	1050.00	460.49	8750.00	3979.32	2.20	9073.64%	
9	2017-02-03	3140.17	2.2655	1050.00	463.47	9800.00	4442.79	2.21	10065.14%	
10	2017-03-01	3246.93	2.3769	1000.00	420.72	10800.00	4863.51	2.22	11560.07%	
11	2017-04-05	3270.31	2.4168	1000.00	413.77	11800.00	5277.28	2.24	12754.12%	
12	2017-05-02	3143.71	2.2987	1050.00	456.78	12850.00	5734.06	2.24	13180.88%	
