base[3300],ratio[0.0],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2014-06-03	2038.31	0.9281	1000.00	1077.47	1000.00	1077.47	0.93	1000.00%	
2	2014-07-01	2050.38	0.9504	1000.00	1052.19	2000.00	2129.66	0.94	2024.03%	
3	2014-08-01	2185.30	1.0329	1000.00	968.15	3000.00	3097.81	0.97	3199.72%	
4	2014-09-01	2235.51	1.0290	1000.00	971.82	4000.00	4069.62	0.98	4187.64%	
5	2014-10-08	2382.79	1.0909	1000.00	916.67	5000.00	4986.30	1.00	5439.55%	
6	2014-11-03	2430.03	1.1304	1000.00	884.64	6000.00	5870.94	1.02	6636.51%	
7	2014-12-01	2680.16	1.2678	1000.00	788.77	7000.00	6659.71	1.05	8443.18%	
8	2015-01-05	3350.52	1.7084	1000.00	585.34	8000.00	7245.05	1.10	12377.45%	
9	2015-02-02	3128.30	1.6027	1000.00	623.95	9000.00	7869.00	1.14	12611.64%	
10	2015-03-02	3336.28	1.7288	1000.00	578.44	10000.00	8447.43	1.18	14603.93%	
11	2015-04-01	3810.29	2.0203	1000.00	494.98	11000.00	8942.41	1.23	18066.35%	
12	2015-05-04	4480.46	2.3564	1000.00	424.38	12000.00	9366.79	1.28	22071.90%	
13	2015-06-01	4828.74	2.5380	1000.00	394.01	13000.00	9760.80	1.33	24772.91%	
14	2015-07-01	4053.70	2.1868	1000.00	457.29	14000.00	10218.09	1.37	22344.91%	
15	2015-08-03	3622.91	2.0187	1000.00	495.37	15000.00	10713.46	1.40	21627.25%	
16	2015-09-01	3166.62	1.7462	1000.00	572.67	16000.00	11286.13	1.42	19707.84%	
17	2015-10-08	3143.36	1.7297	1000.00	578.13	17000.00	11864.26	1.43	20521.61%	
18	2015-11-02	3325.08	1.8252	1000.00	547.89	18000.00	12412.15	1.45	22654.65%	
19	2015-12-01	3456.31	1.9101	1000.00	523.53	19000.00	12935.68	1.47	24708.44%	
20	2016-01-04	3296.26	1.8387	1000.00	543.86	20000.00	13479.54	1.48	24784.84%	
21	2016-02-01	2688.85	1.5440	1000.00	647.67	21000.00	14127.21	1.49	21812.41%	
22	2016-03-01	2733.17	1.5745	1000.00	635.12	22000.00	14762.33	1.49	23243.29%	
23	2016-04-01	3009.53	1.7423	1000.00	573.95	23000.00	15336.29	1.50	26720.41%	
24	2016-05-03	2992.64	1.7356	1000.00	576.17	24000.00	15912.46	1.51	27617.66%	
25	2016-06-01	2913.51	1.7110	1000.00	584.45	25000.00	16496.91	1.52	28226.21%	
26	2016-07-01	2932.48	1.7066	1000.00	585.96	26000.00	17082.87	1.52	29153.63%	
27	2016-08-01	2953.39	1.7930	1000.00	557.72	27000.00	17640.60	1.53	31629.59%	
28	2016-09-01	3063.31	1.8539	1000.00	539.40	28000.00	18180.00	1.54	33703.90%	
29	2016-10-10	3048.14	1.8614	1000.00	537.23	29000.00	18717.23	1.55	34840.25%	
30	2016-11-01	3122.44	1.9126	1000.00	522.85	30000.00	19240.08	1.56	36798.57%	
31	2016-12-01	3273.31	2.0391	1000.00	490.41	31000.00	19730.49	1.57	40232.44%	
32	2016-12-31	3135.92	1.9312	1000.00	517.81	32000.00	20248.30	1.58	39103.52%	
33	2017-02-03	3140.17	1.9910	1000.00	502.26	33000.00	20750.56	1.59	41314.37%	
34	2017-03-01	3246.93	2.0673	1000.00	483.72	34000.00	21234.29	1.60	43897.64%	
35	2017-04-05	3270.31	2.1054	1000.00	474.97	35000.00	21709.25	1.61	45706.67%	
36	2017-05-02	3143.71	2.0492	1000.00	488.00	36000.00	22197.25	1.62	45486.61%	
