base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2014-06-03	2038.31	0.8460	2000.00	2364.07	2000.00	2364.07	0.85	2000.00%	
2	2014-07-01	2050.38	0.8640	2000.00	2314.81	4000.00	4678.88	0.85	4042.55%	
3	2014-08-01	2185.30	0.9080	2000.00	2202.64	6000.00	6881.52	0.87	6248.42%	
4	2014-09-01	2235.51	0.9450	2000.00	2116.40	8000.00	8997.93	0.89	8503.04%	
5	2014-10-08	2382.79	1.0190	1900.00	1864.57	9900.00	10862.50	0.91	11068.89%	
6	2014-11-03	2430.03	1.0320	1800.00	1744.19	11700.00	12606.69	0.93	13010.10%	
7	2014-12-01	2680.16	1.1270	1600.00	1419.70	13300.00	14026.38	0.95	15807.73%	
8	2015-01-05	3350.52	1.1760	1000.00	850.34	14300.00	14876.72	0.96	17495.03%	
9	2015-02-02	3128.30	1.2280	1100.00	895.77	15400.00	15772.49	0.98	19368.62%	
10	2015-03-02	3336.28	1.3080	1000.00	764.53	16400.00	16537.02	0.99	21630.42%	
11	2015-04-01	3810.29	1.6140	500.00	309.79	16900.00	16846.80	1.00	27190.74%	
12	2015-05-04	4480.46	1.8000	500.00	277.78	17400.00	17124.58	1.02	30824.25%	
13	2015-06-01	4828.74	2.4690	500.00	202.51	17900.00	17327.09	1.03	42780.60%	
14	2015-07-01	4053.70	1.7470	500.00	286.20	18400.00	17613.30	1.04	30770.43%	
15	2015-08-03	3622.91	1.5310	700.00	457.22	19100.00	18070.52	1.06	27665.96%	
16	2015-09-01	3166.62	1.3490	1100.00	815.42	20200.00	18885.93	1.07	25477.13%	
17	2015-10-08	3143.36	1.4200	1100.00	774.65	21300.00	19660.58	1.08	27918.03%	
18	2015-11-02	3325.08	1.6090	1000.00	621.50	22300.00	20282.09	1.10	32633.88%	
19	2015-12-01	3456.31	1.2920	900.00	696.59	23200.00	20978.68	1.11	27104.46%	
20	2016-01-04	3296.26	1.2940	1000.00	772.80	24200.00	21751.48	1.11	28146.41%	
21	2016-02-01	2688.85	0.9830	1600.00	1627.67	25800.00	23379.15	1.10	22981.70%	
22	2016-03-01	2733.17	0.9950	1500.00	1507.54	27300.00	24886.69	1.10	24762.25%	
23	2016-04-01	3009.53	1.1520	1200.00	1041.67	28500.00	25928.35	1.10	29869.46%	
24	2016-05-03	2992.64	1.2300	1300.00	1056.91	29800.00	26985.26	1.10	33191.88%	
25	2016-06-01	2913.51	1.2330	1300.00	1054.34	31100.00	28039.60	1.11	34572.83%	
26	2016-07-01	2932.48	1.2990	1300.00	1000.77	32400.00	29040.37	1.12	37723.45%	
27	2016-08-01	2953.39	1.2640	1300.00	1028.48	33700.00	30068.85	1.12	38007.03%	
28	2016-09-01	3063.31	1.3450	1200.00	892.19	34900.00	30961.05	1.13	41642.61%	
29	2016-10-10	3048.14	1.4380	1200.00	834.49	36100.00	31795.54	1.14	45721.98%	
30	2016-11-01	3122.44	1.5030	1100.00	731.87	37200.00	32527.41	1.14	48888.70%	
31	2016-12-01	3273.31	1.5980	1000.00	625.78	38200.00	33153.19	1.15	52978.80%	
32	2016-12-31	3135.92	1.5460	1100.00	711.51	39300.00	33864.70	1.16	52354.83%	
33	2017-02-03	3140.17	1.4920	1100.00	737.27	40400.00	34601.97	1.17	51626.14%	
34	2017-03-01	3246.93	1.5550	1000.00	643.09	41400.00	35245.06	1.17	54806.06%	
35	2017-04-05	3270.31	1.5410	1000.00	648.93	42400.00	35893.99	1.18	55312.63%	
36	2017-05-02	3143.71	1.4150	1100.00	777.39	43500.00	36671.37	1.19	51889.99%	
