base[3300],ratio[0.0],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-06-01	4828.74	2.8091	1000.00	355.99	1000.00	355.99	2.81	1000.00%	
2	2015-07-01	4053.70	2.2956	1000.00	435.62	2000.00	791.60	2.53	1817.20%	
3	2015-08-03	3622.91	1.9729	1000.00	506.87	3000.00	1298.47	2.31	2561.75%	
4	2015-09-01	3166.62	1.6179	1000.00	618.09	4000.00	1916.56	2.09	3100.79%	
5	2015-10-08	3143.36	1.7271	1000.00	579.01	5000.00	2495.56	2.00	4310.08%	
6	2015-11-02	3325.08	1.9534	1000.00	511.93	6000.00	3007.49	2.00	5874.83%	
7	2015-12-01	3456.31	2.1403	1000.00	467.22	7000.00	3474.71	2.01	7436.93%	
8	2016-01-04	3296.26	2.0875	1000.00	479.04	8000.00	3953.75	2.02	8253.46%	
9	2016-02-01	2688.85	1.6724	1000.00	597.94	9000.00	4551.70	1.98	7612.26%	
10	2016-03-01	2733.17	1.6996	1000.00	588.37	10000.00	5140.07	1.95	8736.06%	
11	2016-04-01	3009.53	1.9560	1000.00	511.25	11000.00	5651.32	1.95	11053.98%	
12	2016-05-03	2992.64	2.0173	1000.00	495.71	12000.00	6147.03	1.95	12400.40%	
13	2016-06-01	2913.51	1.9808	1000.00	504.85	13000.00	6651.88	1.95	13176.04%	
14	2016-07-01	2932.48	2.0752	1000.00	481.88	14000.00	7133.76	1.96	14803.98%	
15	2016-08-01	2953.39	2.1121	1000.00	473.46	15000.00	7607.22	1.97	16067.21%	
16	2016-09-01	3063.31	2.2427	1000.00	445.89	16000.00	8053.11	1.99	18060.72%	
17	2016-10-10	3048.14	2.2823	1000.00	438.15	17000.00	8491.27	2.00	19379.62%	
18	2016-11-01	3122.44	2.3351	1000.00	428.25	18000.00	8919.51	2.02	20827.96%	
19	2016-12-01	3273.31	2.3952	1000.00	417.50	19000.00	9337.02	2.03	22364.02%	
20	2016-12-31	3135.92	2.2802	1000.00	438.56	20000.00	9775.57	2.05	22290.26%	
21	2017-02-03	3140.17	2.2655	1000.00	441.40	21000.00	10216.98	2.06	23146.56%	
22	2017-03-01	3246.93	2.3769	1000.00	420.72	22000.00	10637.69	2.07	25284.73%	
23	2017-04-05	3270.31	2.4168	1000.00	413.77	23000.00	11051.46	2.08	26709.18%	
24	2017-05-02	3143.71	2.2987	1000.00	435.03	24000.00	11486.49	2.09	26404.00%	
