base[3300],ratio[0.0],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-06-01	4828.74	2.1710	1000.00	460.62	1000.00	460.62	2.17	1000.00%	
2	2015-07-01	4053.70	1.7030	1000.00	587.20	2000.00	1047.82	1.91	1784.43%	
3	2015-08-03	3622.91	1.4930	1000.00	669.79	3000.00	1717.61	1.75	2564.39%	
4	2015-09-01	3166.62	1.3150	1000.00	760.46	4000.00	2478.06	1.61	3258.66%	
5	2015-10-08	3143.36	1.5020	1000.00	665.78	5000.00	3143.84	1.59	4722.05%	
6	2015-11-02	3325.08	1.7190	1000.00	581.73	6000.00	3725.58	1.61	6404.27%	
7	2015-12-01	3456.31	2.0390	1000.00	490.44	7000.00	4216.01	1.66	8596.45%	
8	2016-01-04	3296.26	1.9930	1000.00	501.76	8000.00	4717.77	1.70	9402.52%	
9	2016-02-01	2688.85	1.7090	1000.00	585.14	9000.00	5302.91	1.70	9062.67%	
10	2016-03-01	2733.17	1.6740	1000.00	597.37	10000.00	5900.28	1.69	9877.07%	
11	2016-04-01	3009.53	1.9220	1000.00	520.29	11000.00	6420.57	1.71	12340.34%	
12	2016-05-03	2992.64	2.0690	1000.00	483.33	12000.00	6903.90	1.74	14284.16%	
13	2016-06-01	2913.51	2.1530	1000.00	464.47	13000.00	7368.36	1.76	15864.09%	
14	2016-07-01	2932.48	2.1930	1000.00	456.00	14000.00	7824.36	1.79	17158.82%	
15	2016-08-01	2953.39	2.2020	1000.00	454.13	15000.00	8278.49	1.81	18229.24%	
16	2016-09-01	3063.31	2.3210	1000.00	430.85	16000.00	8709.34	1.84	20214.38%	
17	2016-10-10	3048.14	2.4040	1000.00	415.97	17000.00	9125.31	1.86	21937.26%	
18	2016-11-01	3122.44	2.3460	1000.00	426.26	18000.00	9551.57	1.88	22407.99%	
19	2016-12-01	3273.31	2.2950	1000.00	435.73	19000.00	9987.30	1.90	22920.86%	
20	2016-12-31	3135.92	2.2090	1000.00	452.69	20000.00	10440.00	1.92	23061.95%	
21	2017-02-03	3140.17	2.2330	1000.00	447.83	21000.00	10887.82	1.93	24312.51%	
22	2017-03-01	3246.93	2.3200	1000.00	431.03	22000.00	11318.86	1.94	26259.75%	
23	2017-04-05	3270.31	2.5300	1000.00	395.26	23000.00	11714.12	1.96	29636.71%	
24	2017-05-02	3143.71	2.5800	1000.00	387.60	24000.00	12101.71	1.98	31222.42%	
