base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-06-01	4828.74	2.8091	500.00	177.99	500.00	177.99	2.81	500.00%	
2	2015-07-01	4053.70	2.2956	500.00	217.81	1000.00	395.80	2.53	908.60%	
3	2015-08-03	3622.91	1.9729	700.00	354.81	1700.00	750.61	2.26	1480.88%	
4	2015-09-01	3166.62	1.6179	1100.00	679.89	2800.00	1430.50	1.96	2314.41%	
5	2015-10-08	3143.36	1.7271	1100.00	636.91	3900.00	2067.41	1.89	3570.62%	
6	2015-11-02	3325.08	1.9534	1000.00	511.93	4900.00	2579.34	1.90	5038.47%	
7	2015-12-01	3456.31	2.1403	900.00	420.50	5800.00	2999.84	1.93	6420.55%	
8	2016-01-04	3296.26	2.0875	1000.00	479.04	6800.00	3478.88	1.95	7262.16%	
9	2016-02-01	2688.85	1.6724	1600.00	956.71	8400.00	4435.59	1.89	7418.08%	
10	2016-03-01	2733.17	1.6996	1500.00	882.56	9900.00	5318.15	1.86	9038.73%	
11	2016-04-01	3009.53	1.9560	1200.00	613.50	11100.00	5931.65	1.87	11602.30%	
12	2016-05-03	2992.64	2.0173	1300.00	644.43	12400.00	6576.07	1.89	13265.91%	
13	2016-06-01	2913.51	1.9808	1300.00	656.30	13700.00	7232.37	1.89	14325.88%	
14	2016-07-01	2932.48	2.0752	1300.00	626.45	15000.00	7858.82	1.91	16308.62%	
15	2016-08-01	2953.39	2.1121	1300.00	615.50	16300.00	8474.32	1.92	17898.61%	
16	2016-09-01	3063.31	2.2427	1200.00	535.07	17500.00	9009.39	1.94	20205.36%	
17	2016-10-10	3048.14	2.2823	1200.00	525.79	18700.00	9535.17	1.96	21762.13%	
18	2016-11-01	3122.44	2.3351	1100.00	471.07	19800.00	10006.25	1.98	23365.58%	
19	2016-12-01	3273.31	2.3952	1000.00	417.50	20800.00	10423.75	2.00	24966.96%	
20	2016-12-31	3135.92	2.2802	1100.00	482.41	21900.00	10906.16	2.01	24868.23%	
21	2017-02-03	3140.17	2.2655	1100.00	485.54	23000.00	11391.71	2.02	25807.91%	
22	2017-03-01	3246.93	2.3769	1000.00	420.72	24000.00	11812.42	2.03	28076.94%	
23	2017-04-05	3270.31	2.4168	1000.00	413.77	25000.00	12226.19	2.04	29548.26%	
24	2017-05-02	3143.71	2.2987	1100.00	478.53	26100.00	12704.72	2.05	29204.35%	
