base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2014-06-03	2038.31	0.9802	2000.00	2040.40	2000.00	2040.40	0.98	2000.00%	
2	2014-07-01	2050.38	1.0250	2000.00	1951.22	4000.00	3991.62	1.00	4091.41%	
3	2014-08-01	2185.30	1.0873	2000.00	1839.42	6000.00	5831.04	1.03	6340.09%	
4	2014-09-01	2235.51	1.1763	2000.00	1700.25	8000.00	7531.28	1.06	8859.05%	
5	2014-10-08	2382.79	1.3015	1900.00	1459.85	9900.00	8991.14	1.10	11701.97%	
6	2014-11-03	2430.03	1.3125	1800.00	1371.43	11700.00	10362.57	1.13	13600.87%	
7	2014-12-01	2680.16	1.3520	1600.00	1183.43	13300.00	11546.00	1.15	15610.19%	
8	2015-01-05	3350.52	1.3955	1000.00	716.59	14300.00	12262.59	1.17	17112.44%	
9	2015-02-02	3128.30	1.4834	1100.00	741.54	15400.00	13004.13	1.18	19290.32%	
10	2015-03-02	3336.28	1.6503	1000.00	605.95	16400.00	13610.08	1.20	22460.71%	
11	2015-04-01	3810.29	1.9921	500.00	250.99	16900.00	13861.07	1.22	27612.64%	
12	2015-05-04	4480.46	2.2635	500.00	220.90	17400.00	14081.97	1.24	31874.53%	
13	2015-06-01	4828.74	2.8091	500.00	177.99	17900.00	14259.96	1.26	40057.65%	
14	2015-07-01	4053.70	2.2956	500.00	217.81	18400.00	14477.77	1.27	33235.16%	
15	2015-08-03	3622.91	1.9729	700.00	354.81	19100.00	14832.58	1.29	29263.19%	
16	2015-09-01	3166.62	1.6179	1100.00	679.89	20200.00	15512.47	1.30	25097.62%	
17	2015-10-08	3143.36	1.7271	1100.00	636.91	21300.00	16149.37	1.32	27891.59%	
18	2015-11-02	3325.08	1.9534	1000.00	511.93	22300.00	16661.30	1.34	32546.19%	
19	2015-12-01	3456.31	2.1403	900.00	420.50	23200.00	17081.80	1.36	36560.19%	
20	2016-01-04	3296.26	2.0875	1000.00	479.04	24200.00	17560.85	1.38	36658.27%	
21	2016-02-01	2688.85	1.6724	1600.00	956.71	25800.00	18517.56	1.39	30968.76%	
22	2016-03-01	2733.17	1.6996	1500.00	882.56	27300.00	19400.12	1.41	32972.44%	
23	2016-04-01	3009.53	1.9560	1200.00	613.50	28500.00	20013.61	1.42	39146.63%	
24	2016-05-03	2992.64	2.0173	1300.00	644.43	29800.00	20658.04	1.44	41673.46%	
25	2016-06-01	2913.51	1.9808	1300.00	656.30	31100.00	21314.34	1.46	42219.44%	
26	2016-07-01	2932.48	2.0752	1300.00	626.45	32400.00	21940.78	1.48	45531.52%	
27	2016-08-01	2953.39	2.1121	1300.00	615.50	33700.00	22556.29	1.49	47641.13%	
28	2016-09-01	3063.31	2.2427	1200.00	535.07	34900.00	23091.36	1.51	51786.99%	
29	2016-10-10	3048.14	2.2823	1200.00	525.79	36100.00	23617.14	1.53	53901.40%	
30	2016-11-01	3122.44	2.3351	1100.00	471.07	37200.00	24088.21	1.54	56248.38%	
31	2016-12-01	3273.31	2.3952	1000.00	417.50	38200.00	24505.71	1.56	58696.09%	
32	2016-12-31	3135.92	2.2802	1100.00	482.41	39300.00	24988.13	1.57	56977.93%	
33	2017-02-03	3140.17	2.2655	1100.00	485.54	40400.00	25473.67	1.59	57710.61%	
34	2017-03-01	3246.93	2.3769	1000.00	420.72	41400.00	25894.39	1.60	61548.37%	
35	2017-04-05	3270.31	2.4168	1000.00	413.77	42400.00	26308.16	1.61	63581.56%	
36	2017-05-02	3143.71	2.2987	1100.00	478.53	43500.00	26786.69	1.62	61574.57%	
