base[3300],ratio[0.0],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2014-06-03	2038.31	0.8460	1000.00	1182.03	1000.00	1182.03	0.85	1000.00%	
2	2014-07-01	2050.38	0.8640	1000.00	1157.41	2000.00	2339.44	0.85	2021.28%	
3	2014-08-01	2185.30	0.9080	1000.00	1101.32	3000.00	3440.76	0.87	3124.21%	
4	2014-09-01	2235.51	0.9450	1000.00	1058.20	4000.00	4498.96	0.89	4251.52%	
5	2014-10-08	2382.79	1.0190	1000.00	981.35	5000.00	5480.32	0.91	5584.44%	
6	2014-11-03	2430.03	1.0320	1000.00	968.99	6000.00	6449.31	0.93	6655.69%	
7	2014-12-01	2680.16	1.1270	1000.00	887.31	7000.00	7336.62	0.95	8268.37%	
8	2015-01-05	3350.52	1.1760	1000.00	850.34	8000.00	8186.96	0.98	9627.87%	
9	2015-02-02	3128.30	1.2280	1000.00	814.33	9000.00	9001.29	1.00	11053.59%	
10	2015-03-02	3336.28	1.3080	1000.00	764.53	10000.00	9765.82	1.02	12773.69%	
11	2015-04-01	3810.29	1.6140	1000.00	619.58	11000.00	10385.40	1.06	16762.03%	
12	2015-05-04	4480.46	1.8000	1000.00	555.56	12000.00	10940.95	1.10	19693.72%	
13	2015-06-01	4828.74	2.4690	1000.00	405.02	13000.00	11345.98	1.15	28013.22%	
14	2015-07-01	4053.70	1.7470	1000.00	572.41	14000.00	11918.39	1.17	20821.42%	
15	2015-08-03	3622.91	1.5310	1000.00	653.17	15000.00	12571.55	1.19	19247.05%	
16	2015-09-01	3166.62	1.3490	1000.00	741.29	16000.00	13312.84	1.20	17959.03%	
17	2015-10-08	3143.36	1.4200	1000.00	704.23	17000.00	14017.07	1.21	19904.24%	
18	2015-11-02	3325.08	1.6090	1000.00	621.50	18000.00	14638.57	1.23	23553.46%	
19	2015-12-01	3456.31	1.2920	1000.00	773.99	19000.00	15412.57	1.23	19913.04%	
20	2016-01-04	3296.26	1.2940	1000.00	772.80	20000.00	16185.36	1.24	20943.86%	
21	2016-02-01	2688.85	0.9830	1000.00	1017.29	21000.00	17202.66	1.22	16910.21%	
22	2016-03-01	2733.17	0.9950	1000.00	1005.03	22000.00	18207.68	1.21	18116.65%	
23	2016-04-01	3009.53	1.1520	1000.00	868.06	23000.00	19075.74	1.21	21975.25%	
24	2016-05-03	2992.64	1.2300	1000.00	813.01	24000.00	19888.75	1.21	24463.16%	
25	2016-06-01	2913.51	1.2330	1000.00	811.03	25000.00	20699.78	1.21	25522.83%	
26	2016-07-01	2932.48	1.2990	1000.00	769.82	26000.00	21469.60	1.21	27889.01%	
27	2016-08-01	2953.39	1.2640	1000.00	791.14	27000.00	22260.74	1.21	28137.58%	
28	2016-09-01	3063.31	1.3450	1000.00	743.49	28000.00	23004.23	1.22	30940.69%	
29	2016-10-10	3048.14	1.4380	1000.00	695.41	29000.00	23699.64	1.22	34080.09%	
30	2016-11-01	3122.44	1.5030	1000.00	665.34	30000.00	24364.98	1.23	36620.57%	
31	2016-12-01	3273.31	1.5980	1000.00	625.78	31000.00	24990.76	1.24	39935.24%	
32	2016-12-31	3135.92	1.5460	1000.00	646.83	32000.00	25637.59	1.25	39635.72%	
33	2017-02-03	3140.17	1.4920	1000.00	670.24	33000.00	26307.83	1.25	39251.29%	
34	2017-03-01	3246.93	1.5550	1000.00	643.09	34000.00	26950.92	1.26	41908.68%	
35	2017-04-05	3270.31	1.5410	1000.00	648.93	35000.00	27599.85	1.27	42531.37%	
36	2017-05-02	3143.71	1.4150	1000.00	706.71	36000.00	28306.56	1.27	40053.79%	
