base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2016-06-01	2913.51	2.1530	1150.00	534.14	1150.00	534.14	2.15	1150.00%	
2	2016-07-01	2932.48	2.1930	1150.00	524.40	2300.00	1058.53	2.17	2321.37%	
3	2016-08-01	2953.39	2.2020	1150.00	522.25	3450.00	1580.79	2.18	3480.89%	
4	2016-09-01	3063.31	2.3210	1100.00	473.93	4550.00	2054.72	2.21	4769.01%	
5	2016-10-10	3048.14	2.4040	1100.00	457.57	5650.00	2512.29	2.25	6039.55%	
6	2016-11-01	3122.44	2.3460	1050.00	447.57	6700.00	2959.86	2.26	6943.83%	
7	2016-12-01	3273.31	2.2950	1000.00	435.73	7700.00	3395.59	2.27	7792.88%	
8	2016-12-31	3135.92	2.2090	1050.00	475.33	8750.00	3870.92	2.26	8550.86%	
9	2017-02-03	3140.17	2.2330	1050.00	470.22	9800.00	4341.14	2.26	9693.76%	
10	2017-03-01	3246.93	2.3200	1000.00	431.03	10800.00	4772.17	2.26	11071.44%	
11	2017-04-05	3270.31	2.5300	1000.00	395.26	11800.00	5167.43	2.28	13073.60%	
12	2017-05-02	3143.71	2.5800	1050.00	406.98	12850.00	5574.41	2.31	14381.97%	
