base[3300],ratio[0.0],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2016-06-01	2913.51	1.2330	1000.00	811.03	1000.00	811.03	1.23	1000.00%	
2	2016-07-01	2932.48	1.2990	1000.00	769.82	2000.00	1580.85	1.27	2053.53%	
3	2016-08-01	2953.39	1.2640	1000.00	791.14	3000.00	2371.99	1.26	2998.20%	
4	2016-09-01	3063.31	1.3450	1000.00	743.49	4000.00	3115.49	1.28	4190.33%	
5	2016-10-10	3048.14	1.4380	1000.00	695.41	5000.00	3810.90	1.31	5480.07%	
6	2016-11-01	3122.44	1.5030	1000.00	665.34	6000.00	4476.23	1.34	6727.78%	
7	2016-12-01	3273.31	1.5980	1000.00	625.78	7000.00	5102.02	1.37	8153.02%	
8	2016-12-31	3135.92	1.5460	1000.00	646.83	8000.00	5748.85	1.39	8887.72%	
9	2017-02-03	3140.17	1.4920	1000.00	670.24	9000.00	6419.09	1.40	9577.28%	
10	2017-03-01	3246.93	1.5550	1000.00	643.09	10000.00	7062.17	1.42	10981.68%	
11	2017-04-05	3270.31	1.5410	1000.00	648.93	11000.00	7711.10	1.43	11882.81%	
12	2017-05-02	3143.71	1.4150	1000.00	706.71	12000.00	8417.82	1.43	11911.21%	
