base[3300],ratio[0.0],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-02-04	3174.13	1.0000	1000.00	1000.00	1000.00	1000.00	1.00	1000.00%	
2	2015-03-06	3241.19	1.0230	1000.00	977.52	2000.00	1977.52	1.01	2023.00%	
3	2015-04-01	3810.29	1.0650	1000.00	938.97	3000.00	2916.48	1.03	3106.06%	
4	2015-05-04	4480.46	1.1990	1000.00	834.03	4000.00	3750.51	1.07	4496.86%	
5	2015-06-01	4828.74	1.5300	1000.00	653.59	5000.00	4404.11	1.14	6738.28%	
6	2015-07-01	4053.70	1.2330	1000.00	811.03	6000.00	5215.14	1.15	6430.26%	
7	2015-08-03	3622.91	1.0130	1000.00	987.17	7000.00	6202.30	1.13	6282.93%	
8	2015-09-01	3166.62	0.8670	1000.00	1153.40	8000.00	7355.71	1.09	6377.40%	
9	2015-10-08	3143.36	0.9500	1000.00	1052.63	9000.00	8408.34	1.07	7987.92%	
10	2015-11-02	3325.08	1.1080	1000.00	902.53	10000.00	9310.87	1.07	10316.44%	
11	2015-12-01	3456.31	1.3230	1000.00	755.86	11000.00	10066.72	1.09	13318.27%	
12	2016-01-04	3296.26	1.3120	1000.00	762.20	12000.00	10828.92	1.11	14207.54%	
13	2016-02-01	2688.85	1.0780	1000.00	927.64	13000.00	11756.56	1.11	12673.57%	
14	2016-03-01	2733.17	1.0800	1000.00	925.93	14000.00	12682.49	1.10	13697.09%	
15	2016-04-01	3009.53	1.2530	1000.00	798.08	15000.00	13480.57	1.11	16891.16%	
16	2016-05-03	2992.64	1.3130	1000.00	761.61	16000.00	14242.19	1.12	18699.99%	
17	2016-06-01	2913.51	1.3140	1000.00	761.04	17000.00	15003.22	1.13	19714.23%	
18	2016-07-01	2932.48	1.4250	1000.00	701.75	18000.00	15704.98	1.15	22379.59%	
19	2016-08-01	2953.39	1.3990	1000.00	714.80	19000.00	16419.77	1.16	22971.26%	
20	2016-09-01	3063.31	1.4830	1000.00	674.31	20000.00	17094.08	1.17	25350.52%	
21	2016-10-10	3048.14	1.1020	1000.00	907.44	21000.00	18001.52	1.17	19837.68%	
22	2016-11-01	3122.44	1.1160	1000.00	896.06	22000.00	18897.58	1.16	21089.70%	
23	2016-12-01	3273.31	1.1420	1000.00	875.66	23000.00	19773.24	1.16	22581.04%	
24	2016-12-31	3135.92	1.0760	1000.00	929.37	24000.00	20702.60	1.16	22276.00%	
25	2017-02-03	3140.17	1.0450	1000.00	956.94	25000.00	21659.54	1.15	22634.22%	
26	2017-03-01	3246.93	1.0820	1000.00	924.21	26000.00	22583.76	1.15	24435.63%	
27	2017-04-05	3270.31	1.0820	1000.00	924.21	27000.00	23507.97	1.15	25435.63%	
28	2017-05-02	3143.71	1.0060	1000.00	994.04	28000.00	24502.01	1.14	24649.02%	
