base[3300],ratio[0.0],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2014-06-03	2038.31	0.8920	1000.00	1121.08	1000.00	1121.08	0.89	1000.00%	
2	2014-07-01	2050.38	0.9150	1000.00	1092.90	2000.00	2213.97	0.90	2025.78%	
3	2014-08-01	2185.30	0.9260	1000.00	1079.91	3000.00	3293.89	0.91	3050.14%	
4	2014-09-01	2235.51	0.9930	1000.00	1007.05	4000.00	4300.94	0.93	4270.83%	
5	2014-10-08	2382.79	1.0420	1000.00	959.69	5000.00	5260.63	0.95	5481.57%	
6	2014-11-03	2430.03	1.0290	1000.00	971.82	6000.00	6232.45	0.96	6413.19%	
7	2014-12-01	2680.16	1.0360	1000.00	965.25	7000.00	7197.70	0.97	7456.81%	
8	2015-01-05	3350.52	1.0820	1000.00	924.21	8000.00	8121.91	0.98	8787.91%	
9	2015-02-02	3128.30	1.1180	1000.00	894.45	9000.00	9016.37	1.00	10080.30%	
10	2015-03-02	3336.28	1.1970	1000.00	835.42	10000.00	9851.79	1.02	11792.59%	
11	2015-04-01	3810.29	1.4330	1000.00	697.84	11000.00	10549.62	1.04	15117.61%	
12	2015-05-04	4480.46	1.6210	1000.00	616.90	12000.00	11166.53	1.07	18100.94%	
13	2015-06-01	4828.74	2.1710	1000.00	460.62	13000.00	11627.14	1.12	25242.53%	
14	2015-07-01	4053.70	1.7030	1000.00	587.20	14000.00	12214.34	1.15	20801.03%	
15	2015-08-03	3622.91	1.4930	1000.00	669.79	15000.00	12884.14	1.16	19236.01%	
16	2015-09-01	3166.62	1.3150	1000.00	760.46	16000.00	13644.59	1.17	17942.64%	
17	2015-10-08	3143.36	1.5020	1000.00	665.78	17000.00	14310.37	1.19	21494.18%	
18	2015-11-02	3325.08	1.7190	1000.00	581.73	18000.00	14892.10	1.21	25599.53%	
19	2015-12-01	3456.31	2.0390	1000.00	490.44	19000.00	15382.54	1.24	31365.00%	
20	2016-01-04	3296.26	1.9930	1000.00	501.76	20000.00	15884.30	1.26	31657.40%	
21	2016-02-01	2688.85	1.7090	1000.00	585.14	21000.00	16469.43	1.28	28146.26%	
22	2016-03-01	2733.17	1.6740	1000.00	597.37	22000.00	17066.81	1.29	28569.83%	
23	2016-04-01	3009.53	1.9220	1000.00	520.29	23000.00	17587.10	1.31	33802.40%	
24	2016-05-03	2992.64	2.0690	1000.00	483.33	24000.00	18070.42	1.33	37387.70%	
25	2016-06-01	2913.51	2.1530	1000.00	464.47	25000.00	18534.89	1.35	39905.62%	
26	2016-07-01	2932.48	2.1930	1000.00	456.00	26000.00	18990.89	1.37	41647.02%	
27	2016-08-01	2953.39	2.2020	1000.00	454.13	27000.00	19445.02	1.39	42817.93%	
28	2016-09-01	3063.31	2.3210	1000.00	430.85	28000.00	19875.87	1.41	46131.89%	
29	2016-10-10	3048.14	2.4040	1000.00	415.97	29000.00	20291.84	1.43	48781.59%	
30	2016-11-01	3122.44	2.3460	1000.00	426.26	30000.00	20718.10	1.45	48604.66%	
31	2016-12-01	3273.31	2.2950	1000.00	435.73	31000.00	21153.83	1.47	48548.04%	
32	2016-12-31	3135.92	2.2090	1000.00	452.69	32000.00	21606.52	1.48	47728.81%	
33	2017-02-03	3140.17	2.2330	1000.00	447.83	33000.00	22054.35	1.50	49247.37%	
34	2017-03-01	3246.93	2.3200	1000.00	431.03	34000.00	22485.39	1.51	52166.09%	
35	2017-04-05	3270.31	2.5300	1000.00	395.26	35000.00	22880.64	1.53	57888.02%	
36	2017-05-02	3143.71	2.5800	1000.00	387.60	36000.00	23268.24	1.55	60032.05%	
