base[3300],ratio[0.0],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2014-01-27	2033.30	1.0000	1000.00	1000.00	1000.00	1000.00	1.00	1000.00%	
2	2014-02-07	2044.50	1.0012	1000.00	998.80	2000.00	1998.80	1.00	2001.20%	
3	2014-03-07	2057.91	0.9973	1000.00	1002.71	3000.00	3001.51	1.00	2993.40%	
4	2014-04-01	2047.46	0.9929	1000.00	1007.15	4000.00	4008.66	1.00	3980.20%	
5	2014-05-05	2027.35	0.9728	1000.00	1027.96	5000.00	5036.62	0.99	4899.62%	
6	2014-06-03	2038.31	0.9802	1000.00	1020.20	6000.00	6056.82	0.99	5936.89%	
7	2014-07-01	2050.38	1.0250	1000.00	975.61	7000.00	7032.43	1.00	7208.24%	
8	2014-08-01	2185.30	1.0873	1000.00	919.71	8000.00	7952.14	1.01	8646.36%	
9	2014-09-01	2235.51	1.1763	1000.00	850.12	9000.00	8802.26	1.02	10354.10%	
10	2014-10-08	2382.79	1.3015	1000.00	768.34	10000.00	9570.61	1.04	12456.14%	
11	2014-11-03	2430.03	1.3125	1000.00	761.90	11000.00	10332.51	1.06	13561.42%	
12	2014-12-01	2680.16	1.3520	1000.00	739.64	12000.00	11072.16	1.08	14969.56%	
13	2015-01-05	3350.52	1.3955	1000.00	716.59	13000.00	11788.75	1.10	16451.19%	
14	2015-02-02	3128.30	1.4834	1000.00	674.13	14000.00	12462.87	1.12	18487.42%	
15	2015-03-02	3336.28	1.6503	1000.00	605.95	15000.00	13068.82	1.15	21567.48%	
16	2015-04-01	3810.29	1.9921	1000.00	501.98	16000.00	13570.81	1.18	27034.40%	
17	2015-05-04	4480.46	2.2635	1000.00	441.79	17000.00	14012.60	1.21	31717.52%	
18	2015-06-01	4828.74	2.8091	1000.00	355.99	18000.00	14368.59	1.25	40362.79%	
19	2015-07-01	4053.70	2.2956	1000.00	435.62	19000.00	14804.20	1.28	33984.52%	
20	2015-08-03	3622.91	1.9729	1000.00	506.87	20000.00	15311.07	1.31	30207.21%	
21	2015-09-01	3166.62	1.6179	1000.00	618.09	21000.00	15929.15	1.32	25771.78%	
22	2015-10-08	3143.36	1.7271	1000.00	579.01	22000.00	16508.16	1.33	28511.24%	
23	2015-11-02	3325.08	1.9534	1000.00	511.93	23000.00	17020.09	1.35	33247.04%	
24	2015-12-01	3456.31	2.1403	1000.00	467.22	24000.00	17487.31	1.37	37428.09%	
25	2016-01-04	3296.26	2.0875	1000.00	479.04	25000.00	17966.35	1.39	37504.77%	
26	2016-02-01	2688.85	1.6724	1000.00	597.94	26000.00	18564.30	1.40	31046.93%	
27	2016-03-01	2733.17	1.6996	1000.00	588.37	27000.00	19152.67	1.41	32551.88%	
28	2016-04-01	3009.53	1.9560	1000.00	511.25	28000.00	19663.92	1.42	38462.62%	
29	2016-05-03	2992.64	2.0173	1000.00	495.71	29000.00	20159.63	1.44	40668.02%	
30	2016-06-01	2913.51	1.9808	1000.00	504.85	30000.00	20664.48	1.45	40932.20%	
31	2016-07-01	2932.48	2.0752	1000.00	481.88	31000.00	21146.36	1.47	43882.92%	
32	2016-08-01	2953.39	2.1121	1000.00	473.46	32000.00	21619.82	1.48	45663.22%	
33	2016-09-01	3063.31	2.2427	1000.00	445.89	33000.00	22065.71	1.50	49486.77%	
34	2016-10-10	3048.14	2.2823	1000.00	438.15	34000.00	22503.87	1.51	51360.57%	
35	2016-11-01	3122.44	2.3351	1000.00	428.25	35000.00	22932.11	1.53	53548.78%	
36	2016-12-01	3273.31	2.3952	1000.00	417.50	36000.00	23349.61	1.54	55927.00%	
37	2016-12-31	3135.92	2.2802	1000.00	438.56	37000.00	23788.17	1.56	54241.79%	
38	2017-02-03	3140.17	2.2655	1000.00	441.40	38000.00	24229.58	1.57	54892.11%	
39	2017-03-01	3246.93	2.3769	1000.00	420.72	39000.00	24650.29	1.58	58591.28%	
40	2017-04-05	3270.31	2.4168	1000.00	413.77	40000.00	25064.06	1.60	60574.83%	
41	2017-05-02	3143.71	2.2987	1000.00	435.03	41000.00	25499.09	1.61	58614.76%	
