base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2014-06-03	2038.31	0.8920	2000.00	2242.15	2000.00	2242.15	0.89	2000.00%	
2	2014-07-01	2050.38	0.9150	2000.00	2185.79	4000.00	4427.94	0.90	4051.57%	
3	2014-08-01	2185.30	0.9260	2000.00	2159.83	6000.00	6587.77	0.91	6100.28%	
4	2014-09-01	2235.51	0.9930	2000.00	2014.10	8000.00	8601.87	0.93	8541.66%	
5	2014-10-08	2382.79	1.0420	1900.00	1823.42	9900.00	10425.29	0.95	10863.15%	
6	2014-11-03	2430.03	1.0290	1800.00	1749.27	11700.00	12174.56	0.96	12527.62%	
7	2014-12-01	2680.16	1.0360	1600.00	1544.40	13300.00	13718.96	0.97	14212.84%	
8	2015-01-05	3350.52	1.0820	1000.00	924.21	14300.00	14643.17	0.98	15843.91%	
9	2015-02-02	3128.30	1.1180	1100.00	983.90	15400.00	15627.07	0.99	17471.07%	
10	2015-03-02	3336.28	1.1970	1000.00	835.42	16400.00	16462.50	1.00	19705.61%	
11	2015-04-01	3810.29	1.4330	500.00	348.92	16900.00	16811.41	1.01	24090.76%	
12	2015-05-04	4480.46	1.6210	500.00	308.45	17400.00	17119.87	1.02	27751.30%	
13	2015-06-01	4828.74	2.1710	500.00	230.31	17900.00	17350.17	1.03	37667.23%	
14	2015-07-01	4053.70	1.7030	500.00	293.60	18400.00	17643.77	1.04	30047.35%	
15	2015-08-03	3622.91	1.4930	700.00	468.85	19100.00	18112.63	1.05	27042.16%	
16	2015-09-01	3166.62	1.3150	1100.00	836.50	20200.00	18949.13	1.07	24918.11%	
17	2015-10-08	3143.36	1.5020	1100.00	732.36	21300.00	19681.49	1.08	29561.59%	
18	2015-11-02	3325.08	1.7190	1000.00	581.73	22300.00	20263.22	1.10	34832.48%	
19	2015-12-01	3456.31	2.0390	900.00	441.39	23200.00	20704.61	1.12	42216.71%	
20	2016-01-04	3296.26	1.9930	1000.00	501.76	24200.00	21206.37	1.14	42264.30%	
21	2016-02-01	2688.85	1.7090	1600.00	936.22	25800.00	22142.59	1.17	37841.69%	
22	2016-03-01	2733.17	1.6740	1500.00	896.06	27300.00	23038.65	1.18	38566.70%	
23	2016-04-01	3009.53	1.9220	1200.00	624.35	28500.00	23663.00	1.20	45480.28%	
24	2016-05-03	2992.64	2.0690	1300.00	628.32	29800.00	24291.32	1.23	50258.74%	
25	2016-06-01	2913.51	2.1530	1300.00	603.81	31100.00	24895.13	1.25	53599.21%	
26	2016-07-01	2932.48	2.1930	1300.00	592.80	32400.00	25487.92	1.27	55895.02%	
27	2016-08-01	2953.39	2.2020	1300.00	590.37	33700.00	26078.30	1.29	57424.41%	
28	2016-09-01	3063.31	2.3210	1200.00	517.02	34900.00	26595.31	1.31	61727.73%	
29	2016-10-10	3048.14	2.4040	1200.00	499.17	36100.00	27094.48	1.33	65135.14%	
30	2016-11-01	3122.44	2.3460	1100.00	468.88	37200.00	27563.37	1.35	64663.65%	
31	2016-12-01	3273.31	2.2950	1000.00	435.73	38200.00	27999.10	1.36	64257.93%	
32	2016-12-31	3135.92	2.2090	1100.00	497.96	39300.00	28497.06	1.38	62950.01%	
33	2017-02-03	3140.17	2.2330	1100.00	492.61	40400.00	28989.67	1.39	64733.93%	
34	2017-03-01	3246.93	2.3200	1000.00	431.03	41400.00	29420.70	1.41	68256.03%	
35	2017-04-05	3270.31	2.5300	1000.00	395.26	42400.00	29815.96	1.42	75434.38%	
36	2017-05-02	3143.71	2.5800	1100.00	426.36	43500.00	30242.32	1.44	78025.18%	
