base[3300],ratio[0.0],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2014-06-03	2038.31	0.9802	1000.00	1020.20	1000.00	1020.20	0.98	1000.00%	
2	2014-07-01	2050.38	1.0250	1000.00	975.61	2000.00	1995.81	1.00	2045.70%	
3	2014-08-01	2185.30	1.0873	1000.00	919.71	3000.00	2915.52	1.03	3170.04%	
4	2014-09-01	2235.51	1.1763	1000.00	850.12	4000.00	3765.64	1.06	4429.53%	
5	2014-10-08	2382.79	1.3015	1000.00	768.34	5000.00	4533.99	1.10	5900.98%	
6	2014-11-03	2430.03	1.3125	1000.00	761.90	6000.00	5295.89	1.13	6950.86%	
7	2014-12-01	2680.16	1.3520	1000.00	739.64	7000.00	6035.54	1.16	8160.05%	
8	2015-01-05	3350.52	1.3955	1000.00	716.59	8000.00	6752.13	1.18	9422.59%	
9	2015-02-02	3128.30	1.4834	1000.00	674.13	9000.00	7426.25	1.21	11016.10%	
10	2015-03-02	3336.28	1.6503	1000.00	605.95	10000.00	8032.20	1.24	13255.54%	
11	2015-04-01	3810.29	1.9921	1000.00	501.98	11000.00	8534.19	1.29	17000.95%	
12	2015-05-04	4480.46	2.2635	1000.00	441.79	12000.00	8975.98	1.34	20317.13%	
13	2015-06-01	4828.74	2.8091	1000.00	355.99	13000.00	9331.97	1.39	26214.42%	
14	2015-07-01	4053.70	2.2956	1000.00	435.62	14000.00	9767.58	1.43	22422.46%	
15	2015-08-03	3622.91	1.9729	1000.00	506.87	15000.00	10274.45	1.46	20270.46%	
16	2015-09-01	3166.62	1.6179	1000.00	618.09	16000.00	10892.53	1.47	17623.03%	
17	2015-10-08	3143.36	1.7271	1000.00	579.01	17000.00	11471.54	1.48	19812.50%	
18	2015-11-02	3325.08	1.9534	1000.00	511.93	18000.00	11983.47	1.50	23408.51%	
19	2015-12-01	3456.31	2.1403	1000.00	467.22	19000.00	12450.69	1.53	26648.22%	
20	2016-01-04	3296.26	2.0875	1000.00	479.04	20000.00	12929.73	1.55	26990.82%	
21	2016-02-01	2688.85	1.6724	1000.00	597.94	21000.00	13527.68	1.55	22623.69%	
22	2016-03-01	2733.17	1.6996	1000.00	588.37	22000.00	14116.05	1.56	23991.64%	
23	2016-04-01	3009.53	1.9560	1000.00	511.25	23000.00	14627.30	1.57	28610.99%	
24	2016-05-03	2992.64	2.0173	1000.00	495.71	24000.00	15123.01	1.59	30507.65%	
25	2016-06-01	2913.51	1.9808	1000.00	504.85	25000.00	15627.86	1.60	30955.66%	
26	2016-07-01	2932.48	2.0752	1000.00	481.88	26000.00	16109.74	1.61	33430.93%	
27	2016-08-01	2953.39	2.1121	1000.00	473.46	27000.00	16583.20	1.63	35025.38%	
28	2016-09-01	3063.31	2.2427	1000.00	445.89	28000.00	17029.09	1.64	38191.15%	
29	2016-10-10	3048.14	2.2823	1000.00	438.15	29000.00	17467.25	1.66	39865.50%	
30	2016-11-01	3122.44	2.3351	1000.00	428.25	30000.00	17895.49	1.68	41787.76%	
31	2016-12-01	3273.31	2.3952	1000.00	417.50	31000.00	18312.99	1.69	43863.29%	
32	2016-12-31	3135.92	2.2802	1000.00	438.56	32000.00	18751.55	1.71	42757.29%	
33	2017-02-03	3140.17	2.2655	1000.00	441.40	33000.00	19192.96	1.72	43481.64%	
34	2017-03-01	3246.93	2.3769	1000.00	420.72	34000.00	19613.67	1.73	46619.74%	
35	2017-04-05	3270.31	2.4168	1000.00	413.77	35000.00	20027.44	1.75	48402.32%	
36	2017-05-02	3143.71	2.2987	1000.00	435.03	36000.00	20462.47	1.76	47037.08%	
