base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-06-01	4828.74	2.1710	500.00	230.31	500.00	230.31	2.17	500.00%	
2	2015-07-01	4053.70	1.7030	650.00	381.68	1150.00	611.99	1.88	1042.22%	
3	2015-08-03	3622.91	1.4930	850.00	569.32	2000.00	1181.31	1.69	1763.70%	
4	2015-09-01	3166.62	1.3150	1050.00	798.48	3050.00	1979.79	1.54	2603.42%	
5	2015-10-08	3143.36	1.5020	1050.00	699.07	4100.00	2678.86	1.53	4023.65%	
6	2015-11-02	3325.08	1.7190	1000.00	581.73	5100.00	3260.59	1.56	5604.96%	
7	2015-12-01	3456.31	2.0390	950.00	465.91	6050.00	3726.51	1.62	7598.35%	
8	2016-01-04	3296.26	1.9930	1000.00	501.76	7050.00	4228.26	1.67	8426.93%	
9	2016-02-01	2688.85	1.7090	1300.00	760.68	8350.00	4988.94	1.67	8526.10%	
10	2016-03-01	2733.17	1.6740	1250.00	746.71	9600.00	5735.66	1.67	9601.49%	
11	2016-04-01	3009.53	1.9220	1100.00	572.32	10700.00	6307.98	1.70	12123.93%	
12	2016-05-03	2992.64	2.0690	1150.00	555.82	11850.00	6863.80	1.73	14201.20%	
13	2016-06-01	2913.51	2.1530	1150.00	534.14	13000.00	7397.94	1.76	15927.76%	
14	2016-07-01	2932.48	2.1930	1150.00	524.40	14150.00	7922.33	1.79	17373.68%	
15	2016-08-01	2953.39	2.2020	1150.00	522.25	15300.00	8444.59	1.81	18594.98%	
16	2016-09-01	3063.31	2.3210	1100.00	473.93	16400.00	8918.52	1.84	20699.89%	
17	2016-10-10	3048.14	2.4040	1100.00	457.57	17500.00	9376.09	1.87	22540.12%	
18	2016-11-01	3122.44	2.3460	1050.00	447.57	18550.00	9823.66	1.89	23046.31%	
19	2016-12-01	3273.31	2.2950	1000.00	435.73	19550.00	10259.39	1.91	23545.30%	
20	2016-12-31	3135.92	2.2090	1050.00	475.33	20600.00	10734.72	1.92	23713.00%	
21	2017-02-03	3140.17	2.2330	1050.00	470.22	21650.00	11204.94	1.93	25020.63%	
22	2017-03-01	3246.93	2.3200	1000.00	431.03	22650.00	11635.97	1.95	26995.46%	
23	2017-04-05	3270.31	2.5300	1000.00	395.26	23650.00	12031.23	1.97	30439.01%	
24	2017-05-02	3143.71	2.5800	1050.00	406.98	24700.00	12438.21	1.99	32090.57%	
