base[3300],ratio[0.0],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-06-01	4828.74	2.5380	1000.00	394.01	1000.00	394.01	2.54	1000.00%	
2	2015-07-01	4053.70	2.1868	1000.00	457.29	2000.00	851.30	2.35	1861.62%	
3	2015-08-03	3622.91	2.0187	1000.00	495.37	3000.00	1346.67	2.23	2718.52%	
4	2015-09-01	3166.62	1.7462	1000.00	572.67	4000.00	1919.34	2.08	3351.55%	
5	2015-10-08	3143.36	1.7297	1000.00	578.13	5000.00	2497.48	2.00	4319.88%	
6	2015-11-02	3325.08	1.8252	1000.00	547.89	6000.00	3045.36	1.97	5558.39%	
7	2015-12-01	3456.31	1.9101	1000.00	523.53	7000.00	3568.89	1.96	6816.94%	
8	2016-01-04	3296.26	1.8387	1000.00	543.86	8000.00	4112.76	1.95	7562.12%	
9	2016-02-01	2688.85	1.5440	1000.00	647.67	9000.00	4760.42	1.89	7350.10%	
10	2016-03-01	2733.17	1.5745	1000.00	635.12	10000.00	5395.55	1.85	8495.29%	
11	2016-04-01	3009.53	1.7423	1000.00	573.95	11000.00	5969.50	1.84	10400.66%	
12	2016-05-03	2992.64	1.7356	1000.00	576.17	12000.00	6545.67	1.83	11360.67%	
13	2016-06-01	2913.51	1.7110	1000.00	584.45	13000.00	7130.12	1.82	12199.64%	
14	2016-07-01	2932.48	1.7066	1000.00	585.96	14000.00	7716.08	1.81	13168.27%	
15	2016-08-01	2953.39	1.7930	1000.00	557.72	15000.00	8273.81	1.81	14834.94%	
16	2016-09-01	3063.31	1.8539	1000.00	539.40	16000.00	8813.21	1.82	16338.81%	
17	2016-10-10	3048.14	1.8614	1000.00	537.23	17000.00	9350.44	1.82	17404.91%	
18	2016-11-01	3122.44	1.9126	1000.00	522.85	18000.00	9873.29	1.82	18883.66%	
19	2016-12-01	3273.31	2.0391	1000.00	490.41	19000.00	10363.70	1.83	21132.63%	
20	2016-12-31	3135.92	1.9312	1000.00	517.81	20000.00	10881.52	1.84	21014.38%	
21	2017-02-03	3140.17	1.9910	1000.00	502.26	21000.00	11383.78	1.84	22665.10%	
22	2017-03-01	3246.93	2.0673	1000.00	483.72	22000.00	11867.50	1.85	24533.68%	
23	2017-04-05	3270.31	2.1054	1000.00	474.97	23000.00	12342.47	1.86	25985.83%	
24	2017-05-02	3143.71	2.0492	1000.00	488.00	24000.00	12830.46	1.87	26292.19%	
