base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2016-06-01	2913.51	1.7110	1300.00	759.79	1300.00	759.79	1.71	1300.00%	
2	2016-07-01	2932.48	1.7066	1300.00	761.75	2600.00	1521.54	1.71	2596.66%	
3	2016-08-01	2953.39	1.7930	1300.00	725.04	3900.00	2246.58	1.74	4028.12%	
4	2016-09-01	3063.31	1.8539	1200.00	647.28	5100.00	2893.86	1.76	5364.93%	
5	2016-10-10	3048.14	1.8614	1200.00	644.68	6300.00	3538.54	1.78	6586.64%	
6	2016-11-01	3122.44	1.9126	1100.00	575.13	7400.00	4113.67	1.80	7867.81%	
7	2016-12-01	3273.31	2.0391	1000.00	490.41	8400.00	4604.09	1.82	9388.19%	
8	2016-12-31	3135.92	1.9312	1100.00	569.59	9500.00	5173.68	1.84	9991.41%	
9	2017-02-03	3140.17	1.9910	1100.00	552.49	10600.00	5726.17	1.85	11400.80%	
10	2017-03-01	3246.93	2.0673	1000.00	483.72	11600.00	6209.89	1.87	12837.70%	
11	2017-04-05	3270.31	2.1054	1000.00	474.97	12600.00	6684.86	1.88	14074.30%	
12	2017-05-02	3143.71	2.0492	1100.00	536.79	13700.00	7221.65	1.90	14798.61%	
