base[3300],ratio[0.0],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-06-01	4828.74	2.4690	1000.00	405.02	1000.00	405.02	2.47	1000.00%	
2	2015-07-01	4053.70	1.7470	1000.00	572.41	2000.00	977.43	2.05	1707.57%	
3	2015-08-03	3622.91	1.5310	1000.00	653.17	3000.00	1630.60	1.84	2496.45%	
4	2015-09-01	3166.62	1.3490	1000.00	741.29	4000.00	2371.89	1.69	3199.68%	
5	2015-10-08	3143.36	1.4200	1000.00	704.23	5000.00	3076.12	1.63	4368.08%	
6	2015-11-02	3325.08	1.6090	1000.00	621.50	6000.00	3697.62	1.62	5949.47%	
7	2015-12-01	3456.31	1.2920	1000.00	773.99	7000.00	4471.61	1.57	5777.32%	
8	2016-01-04	3296.26	1.2940	1000.00	772.80	8000.00	5244.41	1.53	6786.27%	
9	2016-02-01	2688.85	0.9830	1000.00	1017.29	9000.00	6261.70	1.44	6155.26%	
10	2016-03-01	2733.17	0.9950	1000.00	1005.03	10000.00	7266.73	1.38	7230.40%	
11	2016-04-01	3009.53	1.1520	1000.00	868.06	11000.00	8134.79	1.35	9371.27%	
12	2016-05-03	2992.64	1.2300	1000.00	813.01	12000.00	8947.79	1.34	11005.79%	
13	2016-06-01	2913.51	1.2330	1000.00	811.03	13000.00	9758.82	1.33	12032.63%	
14	2016-07-01	2932.48	1.2990	1000.00	769.82	14000.00	10528.65	1.33	13676.71%	
15	2016-08-01	2953.39	1.2640	1000.00	791.14	15000.00	11319.79	1.33	14308.21%	
16	2016-09-01	3063.31	1.3450	1000.00	743.49	16000.00	12063.28	1.33	16225.11%	
17	2016-10-10	3048.14	1.4380	1000.00	695.41	17000.00	12758.69	1.33	18347.00%	
18	2016-11-01	3122.44	1.5030	1000.00	665.34	18000.00	13424.03	1.34	20176.31%	
19	2016-12-01	3273.31	1.5980	1000.00	625.78	19000.00	14049.81	1.35	22451.59%	
20	2016-12-31	3135.92	1.5460	1000.00	646.83	20000.00	14696.64	1.36	22721.00%	
21	2017-02-03	3140.17	1.4920	1000.00	670.24	21000.00	15366.88	1.37	22927.39%	
22	2017-03-01	3246.93	1.5550	1000.00	643.09	22000.00	16009.97	1.37	24895.50%	
23	2017-04-05	3270.31	1.5410	1000.00	648.93	23000.00	16658.90	1.38	25671.36%	
24	2017-05-02	3143.71	1.4150	1000.00	706.71	24000.00	17365.61	1.38	24572.34%	
