base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2016-06-01	2913.51	1.3140	1300.00	989.35	1300.00	989.35	1.31	1300.00%	
2	2016-07-01	2932.48	1.4250	1300.00	912.28	2600.00	1901.63	1.37	2709.82%	
3	2016-08-01	2953.39	1.3990	1300.00	929.24	3900.00	2830.86	1.38	3960.38%	
4	2016-09-01	3063.31	1.4830	1200.00	809.17	5100.00	3640.03	1.40	5398.17%	
5	2016-10-10	3048.14	1.1020	1200.00	1088.93	6300.00	4728.96	1.33	5211.32%	
6	2016-11-01	3122.44	1.1160	1100.00	985.66	7400.00	5714.62	1.29	6377.52%	
7	2016-12-01	3273.31	1.1420	1000.00	875.66	8400.00	6590.28	1.27	7526.10%	
8	2016-12-31	3135.92	1.0760	1100.00	1022.30	9500.00	7612.59	1.25	8191.14%	
9	2017-02-03	3140.17	1.0450	1100.00	1052.63	10600.00	8665.22	1.22	9055.15%	
10	2017-03-01	3246.93	1.0820	1000.00	924.21	11600.00	9589.43	1.21	10375.77%	
11	2017-04-05	3270.31	1.0820	1000.00	924.21	12600.00	10513.65	1.20	11375.77%	
12	2017-05-02	3143.71	1.0060	1100.00	1093.44	13700.00	11607.09	1.18	11676.73%	
