base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2016-06-01	2913.51	1.2330	1150.00	932.68	1150.00	932.68	1.23	1150.00%	
2	2016-07-01	2932.48	1.2990	1150.00	885.30	2300.00	1817.98	1.27	2361.56%	
3	2016-08-01	2953.39	1.2640	1150.00	909.81	3450.00	2727.79	1.26	3447.93%	
4	2016-09-01	3063.31	1.3450	1100.00	817.84	4550.00	3545.63	1.28	4768.88%	
5	2016-10-10	3048.14	1.4380	1100.00	764.95	5650.00	4310.59	1.31	6198.62%	
6	2016-11-01	3122.44	1.5030	1050.00	698.60	6700.00	5009.19	1.34	7528.81%	
7	2016-12-01	3273.31	1.5980	1000.00	625.78	7700.00	5634.97	1.37	9004.68%	
8	2016-12-31	3135.92	1.5460	1050.00	679.17	8750.00	6314.14	1.39	9761.67%	
9	2017-02-03	3140.17	1.4920	1050.00	703.75	9800.00	7017.90	1.40	10470.70%	
10	2017-03-01	3246.93	1.5550	1000.00	643.09	10800.00	7660.98	1.41	11912.83%	
11	2017-04-05	3270.31	1.5410	1000.00	648.93	11800.00	8309.91	1.42	12805.58%	
12	2017-05-02	3143.71	1.4150	1050.00	742.05	12850.00	9051.96	1.42	12808.53%	
