base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2014-06-03	2038.31	0.9281	1600.00	1723.95	1600.00	1723.95	0.93	1600.00%	
2	2014-07-01	2050.38	0.9504	1600.00	1683.50	3200.00	3407.45	0.94	3238.44%	
3	2014-08-01	2185.30	1.0329	1550.00	1500.63	4750.00	4908.08	0.97	5069.56%	
4	2014-09-01	2235.51	1.0290	1500.00	1457.73	6250.00	6365.81	0.98	6550.42%	
5	2014-10-08	2382.79	1.0909	1450.00	1329.18	7700.00	7694.99	1.00	8394.46%	
6	2014-11-03	2430.03	1.1304	1400.00	1238.50	9100.00	8933.49	1.02	10098.41%	
7	2014-12-01	2680.16	1.2678	1300.00	1025.40	10400.00	9958.88	1.04	12625.87%	
8	2015-01-05	3350.52	1.7084	1000.00	585.34	11400.00	10544.23	1.08	18013.76%	
9	2015-02-02	3128.30	1.6027	1050.00	655.14	12450.00	11199.37	1.11	17949.23%	
10	2015-03-02	3336.28	1.7288	1000.00	578.44	13450.00	11777.81	1.14	20361.48%	
11	2015-04-01	3810.29	2.0203	750.00	371.23	14200.00	12149.04	1.17	24544.71%	
12	2015-05-04	4480.46	2.3564	500.00	212.19	14700.00	12361.23	1.19	29128.00%	
13	2015-06-01	4828.74	2.5380	500.00	197.01	15200.00	12558.23	1.21	31872.80%	
14	2015-07-01	4053.70	2.1868	650.00	297.24	15850.00	12855.47	1.23	28112.35%	
15	2015-08-03	3622.91	2.0187	850.00	421.06	16700.00	13276.53	1.26	26801.34%	
16	2015-09-01	3166.62	1.7462	1050.00	601.31	17750.00	13877.84	1.28	24233.48%	
17	2015-10-08	3143.36	1.7297	1050.00	607.04	18800.00	14484.88	1.30	25054.50%	
18	2015-11-02	3325.08	1.8252	1000.00	547.89	19800.00	15032.77	1.32	27437.81%	
19	2015-12-01	3456.31	1.9101	950.00	497.36	20750.00	15530.12	1.34	29664.09%	
20	2016-01-04	3296.26	1.8387	1000.00	543.86	21750.00	16073.99	1.35	29555.24%	
21	2016-02-01	2688.85	1.5440	1300.00	841.97	23050.00	16915.96	1.36	26118.24%	
22	2016-03-01	2733.17	1.5745	1250.00	793.90	24300.00	17709.86	1.37	27884.17%	
23	2016-04-01	3009.53	1.7423	1100.00	631.35	25400.00	18341.21	1.38	31955.89%	
24	2016-05-03	2992.64	1.7356	1150.00	662.60	26550.00	19003.80	1.40	32983.00%	
25	2016-06-01	2913.51	1.7110	1150.00	672.12	27700.00	19675.92	1.41	33665.51%	
26	2016-07-01	2932.48	1.7066	1150.00	673.85	28850.00	20349.78	1.42	34728.93%	
27	2016-08-01	2953.39	1.7930	1150.00	641.38	30000.00	20991.16	1.43	37637.15%	
28	2016-09-01	3063.31	1.8539	1100.00	593.34	31100.00	21584.51	1.44	40015.51%	
29	2016-10-10	3048.14	1.8614	1100.00	590.95	32200.00	22175.46	1.45	41277.40%	
30	2016-11-01	3122.44	1.9126	1050.00	548.99	33250.00	22724.45	1.46	43462.78%	
31	2016-12-01	3273.31	2.0391	1000.00	490.41	34250.00	23214.86	1.48	47337.42%	
32	2016-12-31	3135.92	1.9312	1050.00	543.70	35300.00	23758.57	1.49	45882.54%	
33	2017-02-03	3140.17	1.9910	1050.00	527.37	36350.00	24285.94	1.50	48353.30%	
34	2017-03-01	3246.93	2.0673	1000.00	483.72	37350.00	24769.66	1.51	51206.32%	
35	2017-04-05	3270.31	2.1054	1000.00	474.97	38350.00	25244.63	1.52	53150.05%	
36	2017-05-02	3143.71	2.0492	1050.00	512.40	39400.00	25757.03	1.53	52781.30%	
