base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-06-01	4828.74	2.5380	500.00	197.01	500.00	197.01	2.54	500.00%	
2	2015-07-01	4053.70	2.1868	650.00	297.24	1150.00	494.24	2.33	1080.81%	
3	2015-08-03	3622.91	2.0187	850.00	421.06	2000.00	915.31	2.19	1847.73%	
4	2015-09-01	3166.62	1.7462	1050.00	601.31	3050.00	1516.61	2.01	2648.31%	
5	2015-10-08	3143.36	1.7297	1050.00	607.04	4100.00	2123.65	1.93	3673.28%	
6	2015-11-02	3325.08	1.8252	1000.00	547.89	5100.00	2671.54	1.91	4876.09%	
7	2015-12-01	3456.31	1.9101	950.00	497.36	6050.00	3168.90	1.91	6052.91%	
8	2016-01-04	3296.26	1.8387	1000.00	543.86	7050.00	3712.76	1.90	6826.65%	
9	2016-02-01	2688.85	1.5440	1300.00	841.97	8350.00	4554.73	1.83	7032.50%	
10	2016-03-01	2733.17	1.5745	1250.00	793.90	9600.00	5348.63	1.79	8421.42%	
11	2016-04-01	3009.53	1.7423	1100.00	631.35	10700.00	5979.98	1.79	10418.92%	
12	2016-05-03	2992.64	1.7356	1150.00	662.60	11850.00	6642.57	1.78	11528.85%	
13	2016-06-01	2913.51	1.7110	1150.00	672.12	13000.00	7314.70	1.78	12515.44%	
14	2016-07-01	2932.48	1.7066	1150.00	673.85	14150.00	7988.55	1.77	13633.26%	
15	2016-08-01	2953.39	1.7930	1150.00	641.38	15300.00	8629.93	1.77	15473.47%	
16	2016-09-01	3063.31	1.8539	1100.00	593.34	16400.00	9223.28	1.78	17099.03%	
17	2016-10-10	3048.14	1.8614	1100.00	590.95	17500.00	9814.23	1.78	18268.21%	
18	2016-11-01	3122.44	1.9126	1050.00	548.99	18550.00	10363.22	1.79	19820.70%	
19	2016-12-01	3273.31	2.0391	1000.00	490.41	19550.00	10853.63	1.80	22131.64%	
20	2016-12-31	3135.92	1.9312	1050.00	543.70	20600.00	11397.34	1.81	22010.54%	
21	2017-02-03	3140.17	1.9910	1050.00	527.37	21650.00	11924.71	1.82	23742.10%	
22	2017-03-01	3246.93	2.0673	1000.00	483.72	22650.00	12408.43	1.83	25651.95%	
23	2017-04-05	3270.31	2.1054	1000.00	474.97	23650.00	12883.40	1.84	27124.72%	
24	2017-05-02	3143.71	2.0492	1050.00	512.40	24700.00	13395.80	1.84	27450.67%	
