base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-06-01	4828.74	2.5380	500.00	197.01	500.00	197.01	2.54	500.00%	
2	2015-07-01	4053.70	2.1868	500.00	228.64	1000.00	425.65	2.35	930.81%	
3	2015-08-03	3622.91	2.0187	700.00	346.76	1700.00	772.41	2.20	1559.26%	
4	2015-09-01	3166.62	1.7462	1100.00	629.94	2800.00	1402.35	2.00	2448.78%	
5	2015-10-08	3143.36	1.7297	1100.00	635.95	3900.00	2038.30	1.91	3525.64%	
6	2015-11-02	3325.08	1.8252	1000.00	547.89	4900.00	2586.18	1.89	4720.30%	
7	2015-12-01	3456.31	1.9101	900.00	471.18	5800.00	3057.36	1.90	5839.86%	
8	2016-01-04	3296.26	1.8387	1000.00	543.86	6800.00	3601.22	1.89	6621.57%	
9	2016-02-01	2688.85	1.5440	1600.00	1036.27	8400.00	4637.49	1.81	7160.29%	
10	2016-03-01	2733.17	1.5745	1500.00	952.68	9900.00	5590.18	1.77	8801.73%	
11	2016-04-01	3009.53	1.7423	1200.00	688.74	11100.00	6278.92	1.77	10939.76%	
12	2016-05-03	2992.64	1.7356	1300.00	749.02	12400.00	7027.94	1.76	12197.69%	
13	2016-06-01	2913.51	1.7110	1300.00	759.79	13700.00	7787.73	1.76	13324.81%	
14	2016-07-01	2932.48	1.7066	1300.00	761.75	15000.00	8549.48	1.75	14590.54%	
15	2016-08-01	2953.39	1.7930	1300.00	725.04	16300.00	9274.52	1.76	16629.22%	
16	2016-09-01	3063.31	1.8539	1200.00	647.28	17500.00	9921.81	1.76	18394.03%	
17	2016-10-10	3048.14	1.8614	1200.00	644.68	18700.00	10566.48	1.77	19668.45%	
18	2016-11-01	3122.44	1.9126	1100.00	575.13	19800.00	11141.61	1.78	21309.45%	
19	2016-12-01	3273.31	2.0391	1000.00	490.41	20800.00	11632.03	1.79	23718.87%	
20	2016-12-31	3135.92	1.9312	1100.00	569.59	21900.00	12201.62	1.79	23563.77%	
21	2017-02-03	3140.17	1.9910	1100.00	552.49	23000.00	12754.11	1.80	25393.43%	
22	2017-03-01	3246.93	2.0673	1000.00	483.72	24000.00	13237.83	1.81	27366.57%	
23	2017-04-05	3270.31	2.1054	1000.00	474.97	25000.00	13712.80	1.82	28870.93%	
24	2017-05-02	3143.71	2.0492	1100.00	536.79	26100.00	14249.59	1.83	29200.27%	
