base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-02-04	3174.13	1.0000	1100.00	1100.00	1100.00	1100.00	1.00	1100.00%	
2	2015-03-06	3241.19	1.0230	1000.00	977.52	2100.00	2077.52	1.01	2125.30%	
3	2015-04-01	3810.29	1.0650	500.00	469.48	2600.00	2547.00	1.02	2712.56%	
4	2015-05-04	4480.46	1.1990	500.00	417.01	3100.00	2964.01	1.05	3553.85%	
5	2015-06-01	4828.74	1.5300	500.00	326.80	3600.00	3290.81	1.09	5034.94%	
6	2015-07-01	4053.70	1.2330	500.00	405.51	4100.00	3696.33	1.11	4557.57%	
7	2015-08-03	3622.91	1.0130	700.00	691.02	4800.00	4387.34	1.09	4444.38%	
8	2015-09-01	3166.62	0.8670	1100.00	1268.74	5900.00	5656.09	1.04	4903.83%	
9	2015-10-08	3143.36	0.9500	1100.00	1157.89	7000.00	6813.98	1.03	6473.28%	
10	2015-11-02	3325.08	1.1080	1000.00	902.53	8000.00	7716.51	1.04	8549.89%	
11	2015-12-01	3456.31	1.3230	900.00	680.27	8900.00	8396.78	1.06	11108.94%	
12	2016-01-04	3296.26	1.3120	1000.00	762.20	9900.00	9158.98	1.08	12016.58%	
13	2016-02-01	2688.85	1.0780	1600.00	1484.23	11500.00	10643.21	1.08	11473.38%	
14	2016-03-01	2733.17	1.0800	1500.00	1388.89	13000.00	12032.09	1.08	12994.66%	
15	2016-04-01	3009.53	1.2530	1200.00	957.70	14200.00	12989.80	1.09	16276.22%	
16	2016-05-03	2992.64	1.3130	1300.00	990.10	15500.00	13979.90	1.11	18355.60%	
17	2016-06-01	2913.51	1.3140	1300.00	989.35	16800.00	14969.24	1.12	19669.58%	
18	2016-07-01	2932.48	1.4250	1300.00	912.28	18100.00	15881.52	1.14	22631.17%	
19	2016-08-01	2953.39	1.3990	1300.00	929.24	19400.00	16810.76	1.15	23518.25%	
20	2016-09-01	3063.31	1.4830	1200.00	809.17	20600.00	17619.93	1.17	26130.35%	
21	2016-10-10	3048.14	1.1020	1200.00	1088.93	21800.00	18708.86	1.17	20617.16%	
22	2016-11-01	3122.44	1.1160	1100.00	985.66	22900.00	19694.52	1.16	21979.08%	
23	2016-12-01	3273.31	1.1420	1000.00	875.66	23900.00	20570.18	1.16	23491.14%	
24	2016-12-31	3135.92	1.0760	1100.00	1022.30	25000.00	21592.48	1.16	23233.51%	
25	2017-02-03	3140.17	1.0450	1100.00	1052.63	26100.00	22645.11	1.15	23664.14%	
26	2017-03-01	3246.93	1.0820	1000.00	924.21	27100.00	23569.33	1.15	25502.01%	
27	2017-04-05	3270.31	1.0820	1000.00	924.21	28100.00	24493.54	1.15	26502.01%	
28	2017-05-02	3143.71	1.0060	1100.00	1093.44	29200.00	25586.98	1.14	25740.50%	
