base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2014-06-03	2038.31	0.8920	1600.00	1793.72	1600.00	1793.72	0.89	1600.00%	
2	2014-07-01	2050.38	0.9150	1600.00	1748.63	3200.00	3542.36	0.90	3241.26%	
3	2014-08-01	2185.30	0.9260	1550.00	1673.87	4750.00	5216.22	0.91	4830.22%	
4	2014-09-01	2235.51	0.9930	1500.00	1510.57	6250.00	6726.80	0.93	6679.71%	
5	2014-10-08	2382.79	1.0420	1450.00	1391.55	7700.00	8118.35	0.95	8459.32%	
6	2014-11-03	2430.03	1.0290	1400.00	1360.54	9100.00	9478.89	0.96	9753.78%	
7	2014-12-01	2680.16	1.0360	1300.00	1254.83	10400.00	10733.72	0.97	11120.14%	
8	2015-01-05	3350.52	1.0820	1000.00	924.21	11400.00	11657.94	0.98	12613.89%	
9	2015-02-02	3128.30	1.1180	1050.00	939.18	12450.00	12597.11	0.99	14083.57%	
10	2015-03-02	3336.28	1.1970	1000.00	835.42	13450.00	13432.53	1.00	16078.74%	
11	2015-04-01	3810.29	1.4330	750.00	523.38	14200.00	13955.91	1.02	19998.82%	
12	2015-05-04	4480.46	1.6210	500.00	308.45	14700.00	14264.36	1.03	23122.53%	
13	2015-06-01	4828.74	2.1710	500.00	230.31	15200.00	14494.67	1.05	31467.93%	
14	2015-07-01	4053.70	1.7030	650.00	381.68	15850.00	14876.35	1.07	25334.43%	
15	2015-08-03	3622.91	1.4930	850.00	569.32	16700.00	15445.67	1.08	23060.39%	
16	2015-09-01	3166.62	1.3150	1050.00	798.48	17750.00	16244.15	1.09	21361.06%	
17	2015-10-08	3143.36	1.5020	1050.00	699.07	18800.00	16943.22	1.11	25448.72%	
18	2015-11-02	3325.08	1.7190	1000.00	581.73	19800.00	17524.96	1.13	30125.40%	
19	2015-12-01	3456.31	2.0390	950.00	465.91	20750.00	17990.87	1.15	36683.38%	
20	2016-01-04	3296.26	1.9930	1000.00	501.76	21750.00	18492.63	1.18	36855.80%	
21	2016-02-01	2688.85	1.7090	1300.00	760.68	23050.00	19253.31	1.20	32903.90%	
22	2016-03-01	2733.17	1.6740	1250.00	746.71	24300.00	20000.02	1.21	33480.03%	
23	2016-04-01	3009.53	1.9220	1100.00	572.32	25400.00	20572.34	1.23	39540.04%	
24	2016-05-03	2992.64	2.0690	1150.00	555.82	26550.00	21128.16	1.26	43714.17%	
25	2016-06-01	2913.51	2.1530	1150.00	534.14	27700.00	21662.30	1.28	46638.94%	
26	2016-07-01	2932.48	2.1930	1150.00	524.40	28850.00	22186.70	1.30	48655.43%	
27	2016-08-01	2953.39	2.2020	1150.00	522.25	30000.00	22708.95	1.32	50005.11%	
28	2016-09-01	3063.31	2.3210	1100.00	473.93	31100.00	23182.88	1.34	53807.48%	
29	2016-10-10	3048.14	2.4040	1100.00	457.57	32200.00	23640.46	1.36	56831.65%	
30	2016-11-01	3122.44	2.3460	1050.00	447.57	33250.00	24088.03	1.38	56510.51%	
31	2016-12-01	3273.31	2.2950	1000.00	435.73	34250.00	24523.76	1.40	56282.02%	
32	2016-12-31	3135.92	2.2090	1050.00	475.33	35300.00	24999.08	1.41	55222.98%	
33	2017-02-03	3140.17	2.2330	1050.00	470.22	36350.00	25469.30	1.43	56872.95%	
34	2017-03-01	3246.93	2.3200	1000.00	431.03	37350.00	25900.34	1.44	60088.78%	
35	2017-04-05	3270.31	2.5300	1000.00	395.26	38350.00	26295.59	1.46	66527.85%	
36	2017-05-02	3143.71	2.5800	1050.00	406.98	39400.00	26702.57	1.48	68892.63%	
