base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2016-06-01	2913.51	2.1530	1300.00	603.81	1300.00	603.81	2.15	1300.00%	
2	2016-07-01	2932.48	2.1930	1300.00	592.80	2600.00	1196.60	2.17	2624.15%	
3	2016-08-01	2953.39	2.2020	1300.00	590.37	3900.00	1786.98	2.18	3934.92%	
4	2016-09-01	3063.31	2.3210	1200.00	517.02	5100.00	2303.99	2.21	5347.57%	
5	2016-10-10	3048.14	2.4040	1200.00	499.17	6300.00	2803.16	2.25	6738.80%	
6	2016-11-01	3122.44	2.3460	1100.00	468.88	7400.00	3272.05	2.26	7676.22%	
7	2016-12-01	3273.31	2.2950	1000.00	435.73	8400.00	3707.78	2.27	8509.35%	
8	2016-12-31	3135.92	2.2090	1100.00	497.96	9500.00	4205.74	2.26	9290.48%	
9	2017-02-03	3140.17	2.2330	1100.00	492.61	10600.00	4698.35	2.26	10491.41%	
10	2017-03-01	3246.93	2.3200	1000.00	431.03	11600.00	5129.38	2.26	11900.17%	
11	2017-04-05	3270.31	2.5300	1000.00	395.26	12600.00	5524.64	2.28	13977.34%	
12	2017-05-02	3143.71	2.5800	1100.00	426.36	13700.00	5951.00	2.30	15353.57%	
